KBC
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487577780,2.95
2,2.93
7,2.958
16,2.958
27,2.958
97,2.95
103,2.96
118,2.951
128,2.958
134,2.958
135,2.95
245,2.95
259,2.95
271,2.959
368,2.95
443,2.952
494,2.957
506,2.959
a1487664180,2.95
5,2.95
6,2.95
8,2.95
29,2.95
41,2.95
50,2.951
63,2.95
109,2.932
226,2.932
282,2.917
355,2.93
357,2.932
362,2.933
377,2.93
385,2.93
389,2.933
393,2.933
436,2.93
449,2.931
462,2.933
463,2.935
495,2.931
496,2.93
507,2.93
a1487750580,2.93
20,2.949
124,2.945
150,2.95
187,2.951
188,2.952
191,2.954
199,2.951
236,2.959
356,2.96
364,2.967
369,2.97
371,2.97
386,2.97
387,2.98
424,2.98
436,2.972
444,2.97
449,2.98
451,2.979
456,2.979
464,2.98
492,2.98
a1487836980,2.95
3,2.961
35,2.967
74,2.951
80,2.963
146,2.959
199,2.959
201,2.959
202,2.971
212,2.972
242,2.978
251,2.979
252,2.986
263,2.995
270,2.999
300,2.973
346,2.999
350,2.98
371,2.999
375,2.998
384,2.998
392,2.996
417,2.989
418,2.989
436,2.995
437,3
452,2.99
472,2.999
475,3
489,3
496,3
506,3
507,3.03
a1487923380,2.9
9,2.949
40,2.984
44,2.981
49,2.99
63,2.929
84,2.926
148,2.936
171,2.956
208,2.971
209,2.976
230,2.96
255,2.95
260,2.95
296,2.95
311,2.966
312,2.977
337,2.955
365,2.95
369,2.958
382,2.953
384,2.965
400,2.96
418,2.972
433,2.967
434,3.027
435,3
436,3
437,3
438,3
443,3
457,3.02
458,3
488,3.018
492,3
493,3
494,3.001
496,3.017
498,3.011
499,3.009
501,3.017
502,3.014
503,3.001
506,3.013
507,3
a1488182580,3
5,3.026
43,3.014
99,3
121,3
144,2.996
193,3.019
196,3
216,3.019
255,3
273,3.018
332,3.001
361,2.99
364,2.971
369,2.987
378,3
402,2.995
446,3.02
458,3.02
486,3.01
490,3.02
495,3.02
499,3.03
505,3.03
507,3.012
a1488268980,2.97
18,3
30,3.029
39,3.001
64,3.003
74,3.015
100,3.009
179,3.01
185,3.001
224,3.009
242,3.008
282,3.011
326,3.001
356,3.003
369,3.014
384,3.02
390,3.029
410,3.03
440,3.02
442,3.024
466,3.044
498,3.04
506,3.043
a1488355380,3
21,3.037
22,3.035
43,3.017
115,3.002
117,3
121,3
144,3.001
153,3
187,2.968
210,2.956
282,2.919
283,2.925
289,2.932
307,2.936
310,2.926
328,2.929
342,2.92
357,2.928
365,2.927
378,2.944
402,2.936
410,2.932
415,2.931
435,2.942
455,2.939
458,2.931
459,2.93
463,2.935
482,2.936
486,2.941
507,2.935
a1488441780,2.93
20,2.95
80,2.95
82,2.964
84,2.99
107,2.99
208,2.985
217,2.99
234,2.99
255,2.999
275,2.998
322,2.979
361,2.965
373,2.963
421,2.985
451,2.995
475,2.989
477,2.998
487,2.995
506,2.999
a1488528180,2.999
43,2.997
58,2.998
71,2.997
124,2.977
126,2.98
163,2.997
165,3.004
169,3.004
227,3.017
275,3
311,3.01
334,3.009
359,3
364,2.981
372,2.981
373,3
412,3.001
427,3.019
438,3.039
442,3.021
449,3.029
450,3.029
454,3.03
463,3.027
465,3.038
467,3.03
472,3.039
475,3.035
485,3.035
492,3.038
504,3.04
507,3.04
a1488787380,2.96
6,3
12,3
18,3.012
22,3.012
78,3.026
87,3.027
96,3.027
133,3.014
255,2.962
304,2.964
333,2.975
393,2.966
406,2.977
410,2.965
467,2.96
495,2.968
505,2.966
507,2.959
a1488873720,2.999
32,2.977
49,2.958
119,2.964
144,2.983
210,2.98
226,2.998
256,2.96
289,2.968
291,2.965
388,2.96
389,2.96
429,2.967
446,2.965
449,2.96
458,2.956
483,2.959
493,2.966
497,2.999
506,2.999
508,3.004
a1488960180,2.93
15,3.01
36,3.009
250,2.991
251,3.019
255,3.002
276,3.024
282,3.025
283,3.025
285,3.025
287,3.025
298,3.025
299,3.025
300,3.025
303,3.025
308,3.025
358,3.025
371,3.029
419,3.025
463,2.987
475,2.981
488,2.98
492,2.987
495,3.015
496,3.018
497,3.022
506,3.023
507,3.025
a1489046580,2.984
141,2.995
224,2.979
226,2.979
255,2.966
506,3.026
507,3.026
a1489132980,2.983
36,3.01
88,2.986
152,2.993
211,3.01
235,3.009
242,3
250,3.009
264,2.998
301,2.99
363,3.01
393,3
421,3.002
429,3.01
453,3.009
461,3.014
471,3.014
482,3.014
488,3.025
505,3.023
"
