M4I
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487577900,103.6
19,103.3
134,103.05
210,102.9
361,103.85
493,103.65
a1487668860,104
3,104
19,104
63,104.3
76,104.05
180,104
310,103.95
378,103.95
389,104.4
a1487750700,105
33,104.9
97,104.75
149,104.95
160,105
182,103.75
246,104.75
311,104.45
345,104.75
381,104.8
426,104.8
a1487837220,103.25
383,103.3
470,104.15
a1487923500,104.5
8,104.5
12,104.5
36,104.15
46,104.5
83,104
84,104
174,104
210,104.35
215,104.1
363,104
388,104.4
482,104.6
a1488182700,105.35
96,105.05
167,105
a1488270420,104.65
175,104.5
391,103.7
a1488355620,105.85
13,104.9
57,105.3
258,105.5
275,105.7
385,105.65
412,105.85
417,105.85
461,106.1
a1488447120,106.25
206,106.7
227,107.05
228,106.8
292,106.75
298,106.75
381,106.3
384,106.3
411,106.15
a1488528300,105.35
44,105.65
a1488787500,105.9
1,105.1
6,105.05
133,105
136,105
146,105
169,105.05
207,105.55
431,105
a1488874080,105.95
a1488971340,105.35
130,105.3
202,105.3
212,105.15
a1489136640,104.6
66,104.4
136,104.3
369,104.7
386,104.8
398,104
"
