MUX
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487577780,15.15
11,15.325
16,15.15
100,15.205
101,15.295
125,15.15
130,15.09
133,15.02
134,15.03
136,14.845
205,14.9
208,14.9
255,14.95
263,14.9
290,14.95
314,14.95
362,14.9
371,14.95
383,14.95
416,14.95
417,14.905
443,14.95
450,14.95
488,14.95
494,14.95
507,15.05
a1487664180,15.3
6,15.255
11,15.245
20,15.3
24,15.3
58,15.33
61,15.4
63,15.355
67,15.31
69,15.31
75,15.31
76,15.3
88,15.3
110,15.25
117,15.25
120,15.25
122,15.25
123,15.32
124,15.3
145,15.27
183,15.255
185,15.22
219,15.145
220,15.105
224,15.14
250,15.13
255,15.35
262,15.21
306,15.13
349,15.09
352,15.055
393,15.01
403,14.99
408,15.03
410,15.055
439,14.99
440,14.96
443,14.94
456,14.95
464,14.76
471,14.79
490,14.785
498,14.865
506,14.79
507,14.885
a1487750580,15.2
17,15.05
18,15.175
34,15.09
71,15.07
73,15.085
78,15
95,14.79
116,14.85
153,14.945
161,14.95
176,14.95
186,14.9
208,14.9
248,14.95
255,14.99
264,15
276,15
278,14.93
288,14.88
294,14.85
303,14.9
316,14.99
327,15.1
339,15.05
344,15.05
372,15
400,14.9
410,14.9
419,14.9
420,14.84
421,14.94
422,14.895
423,14.94
424,14.945
425,14.94
429,14.88
430,14.935
435,14.88
436,14.88
437,14.875
438,14.875
439,14.875
441,14.905
445,14.905
448,14.95
450,14.95
451,14.99
455,14.99
459,14.95
461,14.995
463,15
464,15.015
465,15.015
468,15
469,14.99
473,14.99
475,15.04
478,15.04
481,15.075
483,15.095
488,15.095
490,15.095
493,15.13
495,15.135
498,15.18
500,15.235
507,15.27
a1487837100,15.8
2,15.8
17,15.735
19,15.72
27,15.73
33,15.825
42,15.825
79,15.71
89,15.8
95,15.7
108,15.65
114,15.65
128,15.6
131,15.62
133,15.665
138,15.65
146,15.65
148,15.65
154,15.665
178,15.665
195,15.65
201,15.65
210,15.6
253,15.5
325,15.53
328,15.57
335,15.48
344,15.48
347,15.48
348,15.5
372,15.5
377,15.5
379,15.5
380,15.5
383,15.5
385,15.5
392,15.51
402,15.525
403,15.585
425,15.6
433,15.565
445,15.59
447,15.59
474,15.51
480,15.5
481,15.5
482,15.52
485,15.46
492,15.48
493,15.48
a1487923380,15.6
46,15.52
47,15.5
49,15.5
70,15.5
78,15.5
91,15.49
105,15.495
125,15.4
140,15.405
182,15.4
196,15.42
201,15.4
233,15.405
235,15.4
236,15.35
243,15.4
260,15.485
262,15.485
298,15.445
310,15.4
333,15.42
374,15.32
403,15.32
438,15.4
473,15.35
476,15.35
480,15.31
496,15.32
497,15.315
501,15.31
502,15.31
a1488182580,15.5
22,15.45
83,15.45
90,15.48
108,15.49
111,15.5
131,15.5
142,15.495
207,15.5
225,15.5
255,15.5
309,15.46
313,15.4
321,15.32
399,15.315
420,15.3
487,15.3
507,15.3
a1488268980,15.37
76,15.375
77,15.375
80,15.33
136,15.33
175,15.335
225,15.35
255,15.33
358,15.315
389,15.33
479,15.35
a1488358260,15.41
17,15.405
22,15.3
25,15.295
26,15.28
40,15.28
44,15.27
88,15.18
102,15.15
118,15.15
134,15.15
138,15.15
143,15.15
150,15.12
169,15.12
202,15.1
207,15.05
210,15.01
232,14.98
263,14.99
270,14.985
285,14.98
297,14.985
300,14.985
360,14.995
391,15.035
395,15.02
412,15.02
432,15.02
433,15.03
450,14.92
457,14.92
458,14.92
a1488441780,15.08
7,15.05
13,15.045
17,15.08
20,15.08
44,15.08
45,15.08
52,15.08
54,15.08
59,15.105
77,15.12
114,15.025
129,15.07
148,15.105
150,15.12
168,15.075
210,15.14
255,15.095
256,15.1
360,15.12
448,15.1
496,15.14
498,15
502,14.955
507,14.925
a1488528180,15.25
64,15.06
68,14.945
110,15.025
151,15.02
167,15.03
255,15.015
313,14.92
325,14.93
373,14.97
459,14.995
489,15
499,15
a1488793320,15.085
11,15.09
156,15.195
307,15.01
312,15.005
324,15.005
383,15.005
a1488873780,14.88
31,14.93
32,14.93
40,14.885
41,14.92
45,14.88
59,14.905
82,14.815
99,14.8
100,14.805
122,14.87
150,14.865
255,14.785
309,14.71
411,14.715
415,14.78
488,14.715
502,14.7
507,14.7
a1488960180,14.57
4,14.61
8,14.65
9,14.65
14,14.65
30,14.63
61,14.57
83,14.57
145,14.505
146,14.5
150,14.505
255,14.53
405,14.505
406,14.545
411,14.71
468,14.825
469,14.775
477,14.82
481,14.82
487,14.895
488,14.9
490,15.07
491,15.07
493,15.12
495,15.18
501,15.08
503,15.07
a1489051320,15.11
46,15.15
56,15.065
338,15
392,15.09
409,15.025
421,14.95
a1489132980,14.88
1,14.88
2,14.955
14,14.955
23,15.025
29,15.09
64,15.105
67,15.19
69,15.19
119,15.16
132,15.16
133,15.25
135,15.3
136,15.3
142,15.455
145,15.45
152,15.335
172,15.3
255,15.295
273,15.29
346,15.245
366,15.16
373,15.16
375,15.2
470,15.17
502,15.2
507,15.165
"
