SCL
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487577900,75.58
129,76.32
181,76.4
210,76.4
367,76.49
398,75.99
416,75.87
425,76.6
445,76.63
476,75.93
500,75.95
a1487671560,77.03
60,77.05
85,76.76
100,76.76
188,76.76
278,77.56
294,77.17
296,77.26
a1487755020,76.35
23,77.44
29,76.63
34,77.28
37,76.57
52,76.58
57,76.64
58,76.64
93,76.6
100,76.63
129,76.8
138,76.8
224,76.8
430,75.71
a1487839080,75.81
28,75.98
37,75.94
79,76.39
334,75.9
370,76.13
a1487923920,76.19
32,75.73
157,76.1
185,75.99
291,75.27
376,75.93
465,75.77
a1488182700,75.68
77,76.28
201,75.48
298,75.57
323,75.63
371,75.65
427,76.16
458,76.23
481,76.18
a1488279480,76.71
88,76.5
120,76.35
123,76.35
149,76.5
219,76.21
301,76.11
a1488363300,76.74
15,76.75
158,76.31
230,76.66
a1488441900,77.65
89,77.89
124,77.97
137,77.86
165,77.6
179,77.6
182,77.6
186,77.83
187,77.86
205,78
303,77.95
483,77.67
a1488529500,76.87
26,76.71
94,77.02
101,76.7
106,76.7
141,76.52
148,76.49
253,76.4
276,76.4
294,76.57
295,76.6
375,76.92
469,77.05
a1488789180,76
6,75.62
44,75.67
67,75.94
68,75.92
70,75.99
73,76
91,75.67
139,76
151,76
242,75.92
297,75.72
326,75.89
331,76
346,76
364,75.77
367,75.74
370,75.63
415,76
453,75.84
462,75.89
a1488879480,76.17
76,76.22
184,76.68
330,76.11
a1488968040,75.32
37,75.87
48,75.84
164,75.75
166,75.09
207,75.68
278,75.54
286,75.45
298,75.66
329,75.54
330,75.54
370,75.08
a1489046700,75
25,74.5
55,74.05
70,74.19
124,74.52
127,74.15
129,73.62
132,73.6
150,73.57
162,73.2
177,73.13
179,73.07
182,73.06
185,73.07
193,73.24
206,73.32
208,73.32
214,73.35
225,73.1
246,72.85
341,73.39
343,73.4
356,73.25
420,73.4
423,73.4
478,73.8
a1489136760,74.19
1,74.33
16,74.3
76,74.38
112,74.43
119,74.38
251,74.45
252,74.46
312,74.51
353,74.21
"
