CHV
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493017500,97.81
44,97.26
348,97.54
382,97.2
383,97.19
414,97.65
492,97.27
500,97.37
504,97.1
a1493106720,97.55
56,97.7
126,97.16
213,97.5
249,97.5
381,97.73
391,97.67
a1493193780,97.74
39,98.04
146,98.24
266,97.36
374,98.06
392,98.29
410,98.45
a1493283960,97.01
94,97.01
165,97.4
182,97
283,96.99
331,96.7
336,96.54
a1493370900,97.04
35,97.31
99,97.08
177,97.26
181,97.62
187,97.09
195,97.75
229,98.3
274,98.11
a1493708700,97.5
237,97.5
499,97.49
a1493894460,97.5
6,97.28
26,97.5
173,97
a1493968020,95
57,95.14
67,95.19
88,95.81
92,95.44
101,95.55
102,95.53
288,95.31
391,95.6
394,95.64
a1494228600,96.64
38,96.89
113,97.09
116,97.09
243,96.7
313,96.64
405,97.2
412,97.4
466,97.54
a1494320100,98.09
60,98.04
304,97.47
a1494399900,97.2
76,97.13
97,97.14
99,97.14
311,96.95
350,97.1
439,97.46
498,98.25
a1494486840,98.4
32,98.4
68,98.4
69,98.4
355,98.45
424,97.43
425,97.6
a1494572820,98.25
112,97.47
151,97.86
339,97.52
388,97.42
471,96.97
"
