IS8
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493037600,14.96
3,14.7
7,14.945
a1493106960,14.79
2,14.62
348,14.745
a1493214720,14.78
a1493278080,14.895
26,14.755
a1493368440,15
27,14.8
410,14.705
a1493712900,14.95
165,14.7
a1493881500,14.95
368,14.7
422,14.895
a1493967780,14.85
22,14.95
34,14.86
148,14.9
149,14.9
159,14.96
385,15.1
387,15.33
410,15.2
a1494252660,15.195
a1494327780,14.955
15,15.05
23,14.96
62,14.95
63,14.895
92,14.85
134,14.895
263,14.905
a1494405360,14.75
68,14.795
71,14.8
76,14.955
202,14.9
210,14.9
225,14.805
226,14.955
a1494506280,14.615
99,14.605
111,14.605
114,14.5
142,14.425
"
