RHO
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493017500,236.25
9,236.05
27,235
56,235
66,235
79,235.25
106,235.5
118,235.35
122,235.3
146,235
147,235.25
155,235.25
256,236.45
290,236
310,236.7
324,236
362,235.65
387,235.3
391,235.3
450,236.1
456,235.9
457,235.95
462,236
478,235.4
492,235.5
497,235.3
a1493103900,236.15
31,237.3
56,237
78,237.3
84,237.6
102,237.3
144,237.8
188,237.2
206,238
216,238
331,238.3
384,237.55
394,237.8
402,236.9
411,236.75
423,237.6
443,236.7
472,237.1
488,237.7
491,237.75
497,237
a1493190720,236.9
38,237.05
71,237.05
103,236.8
185,237.75
207,237.45
247,237.45
300,237.05
333,237.25
340,237.25
447,238.25
448,238.25
454,237.6
463,237.7
480,238
492,238.85
495,238.8
a1493276700,239
47,240
93,240.1
133,241
149,241.35
201,240.8
229,241.3
286,241.25
315,241.25
325,240.8
332,240.8
389,241.45
399,241.4
435,241.65
462,241.9
464,241.35
466,241.35
470,241.7
486,241.3
503,240.05
a1493363100,241.2
1,241.25
15,240
29,240.4
53,239.95
71,240.4
124,239.8
193,240
237,240.45
321,240.45
374,240.1
379,239.95
386,239.7
399,239.25
425,238.95
459,239.25
465,240
483,239.45
491,239.45
504,238.5
505,238.05
a1493708820,241.15
12,240.5
18,241.15
24,241.2
32,241.2
67,241.95
135,242
140,242.15
151,242.2
164,242.1
204,242
207,242.1
209,242
224,242
227,241.95
256,241.95
298,241.85
315,241.65
319,241.95
325,242.1
344,242.2
361,242.2
385,241.7
413,241.9
416,241.9
419,242.35
429,242.05
430,242.1
436,242.35
445,242.65
467,242.45
482,242
486,242
492,242
496,242.8
a1493795100,242.95
11,243.05
39,244
84,244.75
92,244.55
94,244.55
111,244.15
139,244.75
142,244.35
178,244.35
181,244.35
182,243.75
201,244
225,243.95
233,244
237,243.75
258,243.65
315,243.7
321,243.65
350,244.8
359,245
368,245.75
388,245.4
420,245
423,245.65
429,244.5
436,245.15
449,244.85
453,244.45
465,244.5
469,244.5
478,244.1
504,244.95
a1493881500,244
14,245.55
16,245.75
24,245.85
25,245.35
29,245.7
30,246
56,245.15
59,244.4
62,244.65
73,244.85
122,245.45
126,245.5
129,245.5
151,244.6
166,245.1
237,244.1
288,244.1
320,244.05
346,244.4
355,244.3
358,244
362,244.35
429,245.15
432,244.6
441,244.4
459,244
464,244.05
469,245.1
476,245.05
478,245
487,244.35
a1493968380,245.75
3,245.85
6,245.95
8,245.2
9,245.15
13,245.15
16,245.15
23,245.55
28,245.55
34,245.1
145,244.75
149,245.55
176,245.2
182,245.2
186,244.65
193,244.6
229,244.25
276,244.35
285,244.65
297,245.05
301,245.25
304,245.35
319,244.9
344,244.7
379,245.1
386,245.4
463,245.4
484,246
a1494227100,246
6,246
17,246
24,246.05
44,246.8
66,246
87,246.05
91,246.45
112,246
113,245.45
127,246
140,246.2
147,246.2
177,245.25
199,245.8
237,244.9
399,245.55
409,244.9
412,244.85
414,245
432,244.7
440,244.85
451,245.7
461,244.8
481,245.1
501,244.95
a1494313500,246.8
102,246.6
103,246.05
104,246.7
106,245.9
131,246.1
154,246.8
186,247.05
207,247.25
240,247.15
261,246.8
271,247.2
277,246.25
377,247.2
393,247.2
414,247.45
422,248
443,247.3
464,247.35
474,246.95
483,247.9
504,249.2
a1494400020,243.8
4,245
26,244.65
29,244
40,244.2
45,243.2
81,244.55
115,243.5
128,243
140,242.5
152,242.9
191,243
218,242.95
221,242.5
224,242
274,243
284,243
291,243.95
308,242.7
320,243.8
341,243
386,243.8
388,243.8
396,243.8
421,243.5
440,243.4
445,243.45
455,242.7
476,242.3
488,242.45
491,242.45
496,245.4
500,243.6
a1494486300,244.3
29,243.05
30,243.05
38,243.8
114,243.2
197,244.85
248,245.2
256,245
326,244.3
374,243.85
382,243.65
384,243.45
414,243.6
423,244.6
427,244.35
452,244.25
467,243.95
479,244.25
481,243.05
497,243.85
a1494572700,244.55
3,244.95
14,244.35
50,244.8
64,244.85
96,245.25
146,244.8
157,245.4
184,245.35
219,245.1
224,245
248,245.7
284,245.65
304,246.3
312,245.5
366,245.1
367,244.85
370,246
388,245.1
411,245.25
423,245.25
428,245.05
429,245.2
461,245.35
475,245.8
481,245.75
499,246.95
"
