WEG1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493017680,6.721
318,6.789
353,6.788
448,6.779
a1493303040,6.74
52,6.788
54,6.788
a1493709780,6.751
27,6.751
119,6.751
330,6.75
364,6.789
402,6.789
a1493812200,6.742
173,6.75
213,6.784
a1493899500,6.72
a1493969040,6.759
125,6.76
208,6.711
335,6.759
a1494254640,6.711
35,6.76
a1494319980,6.76
46,6.76
335,6.77
a1494422220,6.77
70,6.884
a1494489900,6.84
148,6.89
149,6.94
159,7.17
172,7.103
239,7.001
332,6.999
350,7
354,7
369,6.9
a1494601980,6.791
9,6.948
14,6.948
"
