WIG1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493021820,2.839
55,2.84
262,2.802
392,2.84
401,2.84
a1493111220,2.802
358,2.848
a1493203860,2.8
253,2.839
a1493276580,2.8
39,2.849
421,2.82
467,2.83
a1493362980,2.82
7,2.83
41,2.83
118,2.82
340,2.85
488,2.859
498,2.82
499,2.82
a1493713140,2.821
82,2.86
179,2.821
363,2.832
390,2.854
a1493801040,2.85
207,2.85
228,2.85
329,2.831
331,2.82
a1493886720,2.821
278,2.82
351,2.752
368,2.752
372,2.725
405,2.677
a1493967780,2.76
488,2.765
a1494232980,2.78
166,2.83
169,2.82
186,2.839
208,2.839
309,2.845
311,2.85
363,2.83
a1494322740,2.85
232,2.86
233,2.865
251,2.85
316,2.924
a1494403320,3
a1494490920,2.831
119,2.949
412,2.95
a1494573600,2.853
135,2.9
"
