WUG3
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493017320,23.35
7,23.345
162,23.345
354,23.345
501,23.345
503,23.345
504,23.34
506,23.345
507,23.345
a1493123280,23.25
a1493218980,23.02
1,23.005
10,23.005
a1493282520,23.005
a1493367540,23.345
4,23.35
57,23.35
135,23.075
302,23.03
319,23.025
351,23
a1493708580,23.4
289,23.37
347,23.055
a1493794980,23.1
309,23.115
a1493900160,23.065
7,23.05
90,22.97
95,22.72
a1493975820,22.85
1,22.9
86,22.895
161,22.62
174,22.56
342,23.13
343,23
354,22.995
373,23
a1494226980,23.155
195,23.2
293,23.155
a1494320220,23.375
14,23.375
274,23.36
320,23.2
a1494399780,23
10,23
289,23.385
297,23.39
371,23.03
a1494492360,23.2
8,23.4
326,23.38
a1494584820,23.335
9,23.335
10,23.335
199,23.33
209,23.395
"
