2EM
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1485787920,2.4
a1485858480,2.341
98,2.26
219,2.339
231,2.34
a1485946140,2.42
116,2.43
173,2.431
303,2.475
306,2.5
325,2.48
337,2.431
a1486139280,2.431
1,2.43
a1486382940,2.44
4,2.44
88,2.46
99,2.5
181,2.445
182,2.445
219,2.5
259,2.5
a1486463880,2.483
a1486544160,2.43
277,2.431
a1486715460,2.47
38,2.43
167,2.43
168,2.403
342,2.4
a1487002560,2.482
a1487071740,2.48
a1487339160,2.4
"
