SWA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1485768960,15.93
2,15.835
5,15.995
7,15.95
9,15.95
13,15.9
26,15.9
53,15.855
129,15.885
384,16.045
414,16.07
a1485857580,15.99
23,15.86
117,15.95
263,15.95
298,15.95
350,15.95
365,15.95
a1485936180,15.995
211,15.9
433,15.945
455,15.815
a1486022580,15.995
157,15.945
436,15.935
a1486108980,15.945
41,15.945
66,15.945
143,15.945
275,15.945
462,15.95
499,15.95
a1486368180,16
459,16.215
483,16.225
a1486454580,16.235
82,16.15
115,16.115
458,16.17
484,16.17
a1486540980,16.125
182,16.075
391,16.125
460,16.09
a1486627380,16.125
68,16.125
496,15.95
a1486713780,16.125
14,16.125
170,16.15
405,16.25
482,16.21
a1486972980,16.24
6,16.24
10,16.35
12,16.395
160,16.26
228,16.3
337,16.3
392,16.3
414,16.36
a1487059380,16.475
450,16.4
475,16.48
492,16.53
a1487146560,16.325
137,16.53
162,16.545
173,16.545
360,16.63
389,16.57
395,16.57
459,16.55
460,16.53
487,16.37
a1487247540,16.485
a1487318580,16.4
34,16.52
50,16.55
54,16.56
56,16.62
73,16.695
74,16.82
82,16.585
123,16.785
127,16.82
128,16.82
164,16.85
212,16.915
221,16.915
256,16.915
301,16.8
314,16.8
365,16.8
373,16.59
377,16.58
380,16.72
411,16.635
422,16.6
504,16.6
"
