DTD2
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1501592100,5.75
20,5.675
a1501660440,5.675
42,5.9
47,5.99
48,5.9
50,5.9
51,5.85
52,5.891
145,6
332,6.049
419,6.05
422,6.05
a1501749600,5.859
87,6.049
106,6.049
111,6.1
220,5.901
261,6.05
355,6.099
371,6.18
a1501832700,6.177
28,6.179
56,6.149
95,6.005
96,6.001
240,5.965
243,5.96
251,5.999
344,6.044
a1502089560,6.149
1,6.149
5,6.1
25,6.143
33,6.007
35,6.017
66,6.053
139,6.047
173,6.049
274,5.999
386,5.92
a1502178540,5.999
17,6
455,6.065
a1502262180,6.05
5,6.079
28,6.079
33,5.916
34,5.916
37,5.851
77,5.955
111,5.95
131,6
204,6.049
259,6.049
328,6.047
330,6.049
382,6.049
412,5.97
444,6.049
477,6.049
501,6.039
a1502348700,5.7
a1502440380,5.701
67,5.701
117,5.706
a1502695200,5.945
180,5.73
332,5.92
462,5.95
487,5.93
a1502780580,5.8
98,6.014
159,6.049
a1502866980,6
11,6
88,5.995
126,5.802
357,5.999
370,5.999
371,5.999
414,5.831
422,5.686
460,5.688
a1502970840,5.892
129,5.897
150,5.896
a1503046560,5.899
240,5.652
354,5.651
389,5.6
390,5.58
"
