ERT
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1501484700,101.55
90,102.4
136,101.75
390,101.35
409,101.15
452,100.1
466,100.1
467,100.1
a1501571100,99.89
176,100
a1501687320,96.29
a1501830420,100.5
465,100.8
a1502089500,100.4
a1502175900,99.73
36,99.35
56,99.96
422,98.8
498,99.62
a1502262300,98.03
82,99
357,97.01
396,99
401,98.99
432,99
a1502348700,99.6
386,98.5
479,98.24
a1502435100,96.23
164,95.62
398,97.18
a1502694300,98.7
386,98.7
405,99.37
a1502780700,100.5
100,100
147,100
a1502892300,100.6
1,100.6
a1502955000,101.1
155,101.5
443,99.74
469,100.35
a1503045780,99.25
398,100.2
"
