LOM
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1501484700,245.8
147,248.45
212,247.35
243,247.65
500,249.05
a1501577280,248.25
a1501657500,245.95
296,248.1
386,247.55
398,248
399,248
425,248.15
426,248.15
a1501765020,248.25
13,248.4
24,248.9
82,247.75
a1501831560,248.45
275,249.3
349,250.85
470,251.6
a1502092080,252
144,251.65
185,250.8
226,251.65
245,250.8
a1502175900,253.1
269,251.55
270,251.55
338,251.55
339,251.55
345,251.55
377,251.55
380,252.55
393,252.55
395,252.55
396,252.55
397,252.55
399,252.55
406,253
414,253.1
434,254
435,254
a1502267280,256.2
9,255.35
76,256.1
162,256.2
167,256.5
172,255.9
207,256.2
225,256.5
278,256.65
326,258.85
a1502348700,261.8
37,259.6
83,261.65
87,261
108,261.15
119,261.15
145,261.15
158,261.15
159,261.15
161,261.2
194,261.2
258,260.55
318,261.1
320,261.55
351,261.6
356,261.6
386,260.7
396,261.35
494,259.7
495,259.55
505,259.6
a1502435100,258.9
85,257.65
106,257.05
180,257.1
181,257
183,256.95
203,256.95
265,257.3
336,256.55
375,256.55
a1502694300,258.9
46,258.9
150,259.65
175,259.85
177,259.25
181,259.05
214,259.6
268,259.1
357,259.2
402,259.05
461,260
a1502780700,262.5
51,262.5
76,263.5
114,262.9
207,261.2
219,261.45
243,263
257,262.25
343,263.45
358,263
378,263
386,263
459,262.95
460,262.95
a1502868900,262.35
28,261.7
97,261.6
128,262.2
158,262.9
198,262.3
223,262.3
277,262.3
311,262.3
323,262.15
420,261.45
422,261.45
423,261.4
471,261.2
a1502953500,261.3
80,259.95
162,260.55
164,260.2
233,261
265,261.7
434,259.65
482,259.7
494,259.55
a1503039900,256.1
5,256
80,256.95
336,256.6
342,256.8
365,257
388,255.4
405,255.45
"
