WUG3
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1501488420,23.4
a1501571880,23
12,23.2
143,23.34
225,23.245
384,23.74
a1501661700,23.75
16,23.88
18,23.75
a1501743780,23.7
59,23.695
99,23.695
364,23.7
382,23.875
385,23.88
a1501830180,23.87
89,23.505
90,23.445
423,23.835
a1502094780,23.795
32,23.8
a1502184480,23.75
3,23.59
67,23.795
a1502268780,23.015
9,23.05
25,23.03
66,23.24
263,23.58
353,23.535
a1502349600,23.49
217,23.19
432,23.195
a1502434980,23
65,23.125
68,23.215
70,23.495
88,23.095
147,23.2
a1502694180,23.23
a1502791620,23.495
a1502876880,23.3
61,23.385
62,23.39
a1502953920,23.23
74,23.23
173,23.48
187,23.5
a1503040140,23.485
1,23.495
105,23.595
478,23.23
"
