NTG
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1485851520,15.545
7,15.525
465,15.505
471,15.5
a1485941160,15.29
57,15.3
140,15.3
213,15.3
237,15.05
252,15.005
264,15
291,14.835
310,14.585
348,14.6
371,14.6
390,14.645
a1486024200,15.1
35,14.905
136,15.105
373,15.15
a1486111200,15.35
66,15.15
323,15.35
a1486542660,15.26
35,15.345
440,15.165
a1486635660,15.16
189,15.125
208,15.01
a1486713780,15.235
394,15.025
442,14.915
a1486974840,15.11
145,15.11
a1487074680,14.91
a1487237820,14.99
7,14.9
8,14.74
a1487321820,14.7
61,14.9
"
