CSY
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496235540,0.79
3,0.829
149,0.8
150,0.829
a1496300580,0.83
237,0.83
255,0.85
342,0.824
a1496405820,0.823
a1496747160,0.78
12,0.8
42,0.77
53,0.799
a1496818980,0.8
a1496905500,0.7
135,0.68
138,0.739
183,0.698
372,0.67
374,0.699
442,0.699
a1496992080,0.73
1,0.7
23,0.729
a1497250980,0.748
42,0.65
43,0.645
45,0.679
54,0.57
299,0.59
335,0.589
402,0.588
403,0.587
404,0.59
405,0.6
406,0.574
420,0.574
423,0.598
507,0.62
a1497348660,0.62
51,0.619
307,0.64
a1497423780,0.66
a1497510120,0.67
a1497610380,0.644
1,0.644
168,0.644
263,0.689
a1497855780,0.71
"
