LUS
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496128860,19.56
1,19.56
52,19.575
85,19.575
133,19.575
156,19.575
237,19.56
327,19.575
353,19.58
471,19.58
489,19.56
a1496224740,19.575
15,19.575
93,19.565
110,19.575
122,19.59
153,19.59
161,19.6
217,19.55
218,19.625
235,19.63
239,19.6
326,19.595
331,19.595
a1496303100,19.505
16,19.79
38,19.705
53,19.705
63,19.76
245,19.77
286,19.77
309,19.8
311,19.8
312,19.995
314,20.01
316,20.1
318,20.2
319,20.18
342,20.4
348,20.395
356,20.25
357,20.25
358,20.25
359,20.25
391,20.25
392,20.22
394,20.205
395,20.15
424,20.2
436,20.1
a1496386980,20.25
2,20.315
6,20.32
36,20.395
37,20.44
48,20.44
71,20.44
86,20.5
88,20.55
89,20.6
90,20.8
94,20.8
113,20.855
116,20.85
119,20.95
124,21.32
127,21.2
128,21.06
129,21.065
134,21.06
135,20.95
137,20.85
143,21
173,20.955
195,20.94
197,20.845
199,20.78
244,20.845
247,20.845
272,20.995
278,20.995
281,20.96
291,20.9
292,21
296,21.065
316,21.06
321,21.15
346,21
366,20.935
367,21.09
376,20.92
385,20.875
400,20.95
421,20.995
462,20.935
467,20.85
482,20.935
493,20.935
a1496732580,21.13
7,21.005
14,21
20,21.13
45,21.1
47,21.1
52,21.105
66,21.23
68,21.23
89,21.2
92,21.16
106,21.105
130,21.105
136,21.1
177,21.19
187,21.11
218,21.1
220,21.045
225,21.04
238,21.055
248,20.9
256,20.9
262,20.905
303,21.04
326,20.95
354,20.905
369,21.01
411,21.035
432,21.045
435,21.04
455,21.04
478,20.89
490,21.045
a1496826960,20.845
35,20.925
41,20.95
48,20.96
62,20.96
89,20.96
95,21.05
108,21
146,21
159,21.04
199,20.995
246,20.975
261,20.945
305,20.95
309,20.95
319,20.99
322,20.985
324,20.995
327,21
329,21
331,21.015
333,21.02
335,21.02
336,21.02
345,21.03
360,21
374,20.805
a1496905380,20.9
27,20.9
55,20.925
62,20.93
83,20.945
92,20.975
121,20.945
124,21.04
171,21.04
236,21.04
282,20.995
305,21.04
311,21.04
315,21.04
316,21.045
324,21.1
325,21.04
387,21.1
395,21.1
403,21.11
410,21.035
413,21.025
416,21.025
470,21.1
484,21.05
a1496991900,21.095
1,21.1
4,21.105
5,21.13
7,21.14
16,21.14
18,21.15
29,21.24
36,21.33
84,21.27
111,21.31
120,21.34
131,21.32
136,21.265
149,21.25
153,21.295
155,21.23
165,21.295
168,21.165
180,21.295
259,21.3
285,21.31
286,21.34
289,21.34
309,21.34
360,21.265
366,21.215
399,21.325
414,21.325
498,21.325
a1497250980,21.31
42,21.265
57,21.31
74,21.29
114,21.29
120,21.25
128,21.25
144,21.3
185,21.115
262,21.125
264,21.295
285,21.125
320,21.12
348,21.12
411,21.07
412,21.06
507,21.1
a1497337500,21.4
19,21.34
24,21.325
25,21.38
38,21.4
47,21.375
64,21.44
67,21.44
81,21.335
157,21.38
162,21.42
169,21.44
179,21.375
253,21.46
278,21.46
282,21.415
297,21.46
298,21.695
307,21.605
385,21.62
407,21.67
419,21.65
426,21.67
435,21.655
439,21.7
454,21.7
459,21.65
a1497425880,21.61
9,21.695
10,21.75
56,21.7
65,21.78
75,21.8
126,21.795
128,21.755
144,21.795
148,21.795
155,21.795
159,21.79
179,21.895
228,21.85
238,21.895
293,21.76
299,21.89
328,21.77
352,21.745
365,21.64
435,21.66
447,21.875
450,21.745
a1497514200,21.65
38,21.795
73,21.665
197,21.88
263,21.775
294,21.65
a1497596700,21.93
8,21.705
40,21.62
43,21.765
104,21.815
107,21.815
139,21.75
142,21.7
196,21.735
216,21.7
230,21.68
231,21.875
257,21.8
303,21.845
323,21.895
384,21.9
387,21.9
428,21.895
429,21.93
477,21.92
480,21.935
485,21.94
488,21.99
491,21.995
a1497859920,21.92
8,21.965
44,21.9
45,21.9
51,21.98
129,21.98
137,21.98
176,21.98
189,21.98
201,21.995
287,21.96
312,21.98
319,22
341,22
346,22
359,21.92
367,21.92
371,21.925
373,21.925
413,21.92
414,21.9
426,22.04
432,21.9
"
