M4I
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496133300,109.6
7,109.9
295,108.8
323,108.45
327,108.4
370,108.6
397,108.6
a1496236620,108.7
22,108.6
46,108
126,109.15
a1496300700,109.05
1,109.15
68,109.35
317,110.05
318,110.05
396,109.35
463,109.25
492,109.5
a1496387100,110.6
63,109.9
147,110.5
150,110.5
164,110.4
182,110.5
211,110.6
329,110.45
a1496732820,112
26,111.2
83,111.95
221,111.9
263,111.05
320,111.45
332,111.7
423,111.4
424,111.4
427,111.45
a1496819400,111.9
25,111.95
89,111.5
158,111.6
169,111.15
180,111.15
233,112
353,111.65
372,112
395,111.9
460,111.3
a1496905500,111.9
2,111.85
28,110.8
41,111.3
233,111.85
334,112.75
428,111.4
445,111.1
a1496991900,111.8
217,112.15
232,112.1
307,112.15
316,112.1
394,111.4
395,111.4
408,111.55
415,111.4
477,111.4
a1497251100,110.3
5,110
21,110.2
40,109.9
255,109.95
274,109.8
462,107.75
498,108.1
a1497337500,107.45
25,108.45
48,108.45
94,108.05
117,108.15
242,108.15
254,108
344,108.45
398,108.5
400,108.8
451,108.95
486,108.65
a1497423900,109
66,109.35
80,109.7
92,109.55
96,109.5
249,109.15
329,109.1
333,109
343,110
355,108.95
357,108.95
363,108.7
387,108.95
388,108.95
392,109.2
404,109.2
477,108.8
a1497524100,108.8
4,108.5
64,108.85
66,108.85
135,109
188,109
240,108.65
a1497596700,109.55
64,109.1
100,109.15
101,109
162,108.75
a1497855900,110
38,109.85
174,109.8
259,109.85
434,109.8
"
