SMK
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496132580,0.048
a1496216640,0.047
10,0.048
12,0.048
75,0.047
158,0.049
320,0.05
a1496757180,0.05
a1496834280,0.05
a1496906040,0.05
136,0.05
138,0.047
146,0.051
149,0.051
278,0.051
281,0.052
317,0.052
319,0.052
363,0.052
366,0.052
368,0.052
371,0.052
372,0.052
401,0.052
402,0.055
a1496997000,0.053
a1497251160,0.056
458,0.058
459,0.058
a1497340200,0.06
1,0.06
241,0.058
326,0.052
a1497604860,0.058
"
