AGB1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493708940,96.99
54,97.39
500,96
a1493811840,97.26
a1493901180,98.5
a1493991660,96.42
a1494227880,98.16
10,98.16
84,98.41
a1494319980,98.99
4,99.5
385,99.8
a1494411360,99.95
104,99.9
105,99.9
116,99.98
157,100
a1494513840,101.95
991,103.5
a1494588360,103.5
158,104.35
a1494921660,103
a1495010700,103.3
149,104
a1495112340,102.75
32,102.05
a1495193400,103.3
26,104
108,103.95
"
