CUR
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493732820,1.131
82,1.153
99,1.153
a1493800260,1.151
65,1.117
121,1.127
123,1.128
133,1.149
138,1.154
162,1.149
173,1.149
174,1.15
210,1.155
225,1.18
260,1.18
277,1.19
283,1.19
344,1.258
388,1.25
418,1.25
a1493881500,1.36
3,1.369
5,1.434
7,1.371
8,1.371
9,1.369
15,1.399
18,1.401
26,1.4
27,1.36
34,1.35
52,1.343
69,1.35
70,1.35
101,1.34
114,1.34
115,1.33
117,1.321
123,1.311
132,1.344
138,1.33
139,1.31
149,1.32
158,1.311
163,1.348
182,1.316
197,1.31
199,1.32
200,1.31
203,1.301
215,1.319
249,1.317
255,1.317
287,1.317
301,1.317
326,1.309
337,1.3
347,1.28
430,1.3
432,1.3
433,1.3
465,1.3
466,1.3
481,1.342
501,1.341
503,1.341
a1493967780,1.389
19,1.356
50,1.361
62,1.361
65,1.388
90,1.388
97,1.388
110,1.362
123,1.389
128,1.362
137,1.389
139,1.362
146,1.397
149,1.397
169,1.418
171,1.419
175,1.42
176,1.427
179,1.42
180,1.42
196,1.42
217,1.439
218,1.44
225,1.42
226,1.439
228,1.4
231,1.4
256,1.391
273,1.366
320,1.417
334,1.366
364,1.412
373,1.408
430,1.399
445,1.39
448,1.389
449,1.39
480,1.4
483,1.4
485,1.4
490,1.409
495,1.409
501,1.409
503,1.409
504,1.409
a1494227100,1.5
2,1.499
4,1.5
5,1.5
20,1.524
21,1.57
22,1.569
32,1.629
33,1.63
38,1.571
39,1.571
43,1.571
48,1.6
54,1.649
57,1.571
65,1.619
80,1.599
82,1.6
89,1.57
97,1.599
101,1.597
108,1.596
111,1.596
118,1.596
120,1.596
140,1.531
144,1.531
160,1.579
161,1.579
175,1.55
183,1.55
185,1.55
203,1.55
253,1.56
254,1.56
262,1.581
267,1.581
271,1.582
274,1.582
278,1.582
297,1.59
386,1.6
393,1.62
402,1.639
415,1.65
417,1.63
446,1.6
465,1.564
488,1.65
498,1.63
499,1.649
502,1.65
503,1.665
a1494313380,1.65
6,1.65
7,1.621
8,1.621
22,1.622
24,1.601
42,1.606
45,1.649
46,1.649
65,1.635
67,1.664
69,1.635
80,1.648
81,1.607
95,1.629
138,1.635
147,1.61
160,1.601
200,1.6
201,1.599
278,1.599
295,1.561
395,1.632
406,1.581
445,1.58
460,1.57
470,1.589
a1494402720,1.598
46,1.598
66,1.598
86,1.594
171,1.579
196,1.579
276,1.595
277,1.599
278,1.629
359,1.63
393,1.63
454,1.62
a1494486180,1.64
2,1.66
3,1.664
5,1.66
15,1.673
18,1.724
19,1.724
42,1.72
84,1.66
89,1.7
105,1.724
116,1.723
136,1.732
148,1.71
160,1.671
164,1.719
298,1.731
313,1.671
332,1.739
341,1.715
364,1.74
367,1.74
383,1.717
422,1.74
424,1.75
494,1.756
a1494572580,1.79
1,1.79
10,1.77
12,1.77
15,1.762
25,1.73
33,1.75
38,1.731
82,1.798
139,1.799
144,1.741
175,1.787
196,1.79
217,1.752
227,1.751
255,1.75
265,1.798
300,1.751
327,1.751
399,1.798
412,1.752
456,1.751
465,1.74
495,1.798
498,1.798
499,1.74
504,1.798
a1494831780,1.754
21,1.772
23,1.78
46,1.789
54,1.789
111,1.79
119,1.756
168,1.756
232,1.798
235,1.798
260,1.798
375,1.794
449,1.76
481,1.76
483,1.78
a1494924420,1.74
47,1.717
60,1.717
112,1.72
151,1.725
173,1.73
200,1.73
206,1.716
208,1.716
210,1.71
237,1.7
253,1.699
313,1.68
345,1.61
347,1.563
348,1.561
358,1.565
361,1.555
389,1.552
a1495004580,1.571
10,1.57
12,1.55
157,1.605
171,1.63
189,1.63
287,1.625
290,1.625
360,1.624
424,1.55
446,1.624
479,1.625
490,1.625
a1495091580,1.55
24,1.502
30,1.501
32,1.5
35,1.5
36,1.49
54,1.499
66,1.47
67,1.45
69,1.45
98,1.498
104,1.456
121,1.498
134,1.499
140,1.499
141,1.5
144,1.455
196,1.499
221,1.499
245,1.499
252,1.532
254,1.58
317,1.58
318,1.58
343,1.579
368,1.579
392,1.58
453,1.58
490,1.56
a1495181700,1.61
9,1.697
10,1.681
11,1.68
13,1.738
20,1.72
72,1.72
128,1.72
146,1.67
214,1.75
237,1.749
363,1.699
366,1.699
377,1.699
388,1.7
415,1.709
432,1.709
a1495436580,1.72
2,1.719
12,1.799
15,1.8
17,1.8
18,1.8
31,1.81
36,1.85
49,1.9
62,1.896
66,1.896
70,1.94
71,1.94
72,1.959
73,1.989
84,1.931
95,1.94
106,1.951
114,1.915
115,1.915
127,1.915
136,1.926
137,1.949
139,1.979
146,1.984
147,1.984
148,1.916
160,1.92
186,1.989
212,1.915
215,1.96
243,1.915
255,1.915
270,1.805
274,1.804
404,1.91
442,1.91
459,1.91
460,1.91
461,1.91
486,1.91
"
