NXU
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493711760,22.125
1,22.01
9,22.015
11,22.01
23,22
72,22.005
114,22.05
121,22.03
128,22.01
143,22
144,22.03
237,22.17
273,22.17
274,22.175
323,22.195
334,22.1
339,22.1
369,22.1
372,22.1
448,22.185
a1493794980,22.3
1,22.425
92,22.42
134,22.2
213,22.425
255,22.2
281,22.425
404,22.42
493,22.205
498,22.205
505,22.205
506,22.205
a1493881380,22.355
1,22.35
38,22.205
260,22.25
290,22.255
291,22.19
339,22.45
438,22.395
a1493972580,22.3
1,22.3
5,22.26
25,22.22
26,22.21
46,22.425
50,22.305
55,22.365
82,22.3
104,22.3
270,22.395
273,22.395
314,22.45
333,22.505
359,22.14
395,22.155
a1494236100,22.445
7,22.73
38,22.73
54,22.735
155,22.7
303,22.63
338,22.625
a1494313380,22.63
10,22.63
12,22.77
13,22.99
15,22.9
23,22.99
56,22.94
72,23
101,23.2
102,23.195
140,23.5
164,23.5
176,23.405
206,23.505
209,23.32
218,23.5
231,23.955
251,24.22
284,23.995
296,23.72
302,23.675
303,23.725
305,23.665
336,23.675
343,23.49
403,23.645
431,23.405
a1494399780,23.2
7,23.5
11,23.205
13,23.005
56,23
97,22.995
103,22.995
104,22.995
105,22.995
137,22.83
147,22.9
148,23
204,22.83
280,22.83
349,22.83
372,22.83
393,22.985
446,22.83
490,22.83
506,22.83
507,22.83
a1494486180,23.15
8,23.145
25,23.14
32,23.13
126,22.92
187,23.02
188,22.995
206,23.005
255,22.945
336,22.92
345,22.99
362,22.99
390,22.975
392,22.88
400,22.975
407,22.965
413,22.97
414,22.84
437,23
441,22.9
465,22.9
476,22.955
478,22.905
479,22.8
491,22.8
492,22.685
503,22.63
505,22.635
506,22.64
a1494572580,22.63
12,22.68
19,22.7
24,22.7
78,22.995
137,22.715
281,22.685
415,22.85
419,22.905
461,22.77
465,22.91
467,22.91
a1494831780,23.03
7,22.675
18,22.835
24,22.97
25,22.93
112,22.795
155,22.795
183,22.58
289,22.8
343,22.8
345,22.76
356,22.8
406,22.795
432,22.8
436,22.75
475,22.63
507,22.63
a1494918180,22.75
14,22.745
54,22.74
60,22.74
127,22.715
150,22.725
223,22.7
255,22.165
281,22.11
330,22.39
334,22.325
378,22.02
385,22.245
392,22.325
459,22.285
489,22.245
491,22.385
506,22.37
a1495005060,21.825
1,21.82
3,21.82
20,21.645
21,21.645
60,21.88
97,21.925
98,21.92
131,21.92
134,22
177,21.83
187,21.83
244,21.83
273,21.825
275,21.75
281,21.75
292,21.75
337,21.75
366,21.75
445,21.7
450,21.75
466,21.705
474,21.7
488,21.7
497,21.7
499,21.7
a1495090980,21.75
13,22.19
16,22.145
17,21.755
52,22
72,22.09
78,22.09
98,21.95
99,21.95
123,21.965
124,21.965
144,21.835
153,21.835
176,21.84
180,21.84
184,21.965
189,21.84
194,21.995
198,21.84
207,21.84
216,21.84
225,21.84
227,21.92
228,21.925
235,21.925
239,21.9
244,21.9
261,21.9
294,21.75
297,21.645
299,21.74
311,21.7
323,21.92
331,21.895
333,21.8
338,21.895
342,21.845
351,21.845
361,21.98
374,21.78
380,21.8
382,21.7
384,21.7
385,21.7
386,21.7
387,21.7
390,21.705
391,21.7
396,21.68
405,21.65
414,21.65
415,21.65
417,21.695
423,21.65
430,21.675
432,21.635
441,21.635
443,21.555
447,21.58
459,21.53
461,21.51
468,21.5
471,21.5
473,21.395
477,21.395
480,21.395
484,21.5
492,21.455
507,21.68
a1495177380,21.805
4,21.5
17,21.985
23,21.975
62,21.975
68,21.975
79,21.955
81,21.975
82,22
95,22
109,21.98
122,21.955
137,21.93
146,21.925
152,21.925
167,21.945
177,21.85
239,21.8
247,21.82
264,21.895
265,21.94
292,21.935
339,21.935
402,21.94
415,21.95
431,21.945
449,21.95
450,21.9
456,21.95
478,21.91
488,21.9
490,21.94
506,21.94
a1495436580,21.95
17,21.95
20,21.95
125,21.85
187,21.85
215,21.805
234,21.85
255,21.76
334,21.94
346,21.94
400,21.94
431,21.94
451,21.945
470,21.945
488,21.94
506,21.94
507,21.945
"
