OAL
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493727300,0.2
a1493814900,0.198
79,0.198
a1493899860,0.198
a1493988960,0.197
a1494249600,0.198
a1494330600,0.197
a1494406980,0.196
214,0.196
a1494597000,0.209
68,0.209
a1494833220,0.181
3,0.181
4,0.181
163,0.27
a1494923340,0.23
6,0.25
134,0.27
144,0.27
250,0.22
259,0.2
266,0.199
a1495021800,0.27
a1495099320,0.236
1,0.236
172,0.25
203,0.2
248,0.225
a1495182120,0.174
176,0.15
226,0.14
316,0.197
358,0.17
a1495437060,0.165
"
