PCZ
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493725920,12.8
27,12.945
28,13.18
29,13.2
185,13
193,12.8
194,12.8
195,12.8
a1493809320,12.615
1,12.5
26,12.48
113,12.48
256,12.42
a1493882700,12.3
35,12.23
40,12.12
55,12.15
89,12.295
469,12.295
471,12.3
a1494228240,12.45
141,12.49
142,12.2
433,12.175
451,12
a1494313500,11.75
47,11.65
55,11.65
67,11.7
71,11.8
84,11.7
234,11.5
253,11.43
263,11.425
391,11.32
406,11.685
421,11.69
422,11.8
452,12
a1494399960,12
9,11.99
10,12
386,11.805
479,11.715
a1494590760,11.985
55,12.045
154,12.05
a1494832140,12.05
144,12.005
364,12.05
a1494919680,12.085
355,12
466,12.195
a1495032840,12.055
970,11.945
a1495436820,11.825
281,11.795
339,11.7
"
