WBAG
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1493712780,0.57
101,0.609
102,0.645
111,0.64
113,0.65
208,0.639
277,0.6
a1493812500,0.629
10,0.61
17,0.6
160,0.61
a1493977380,0.595
69,0.561
86,0.561
98,0.594
148,0.562
166,0.594
231,0.594
320,0.594
a1494226980,0.565
1,0.569
348,0.615
386,0.619
434,0.615
a1494339720,0.59
a1494405300,0.595
157,0.604
223,0.604
267,0.571
269,0.565
295,0.555
324,0.559
328,0.559
329,0.559
330,0.559
355,0.55
374,0.55
375,0.55
a1494487740,0.54
12,0.529
16,0.507
33,0.509
38,0.509
43,0.51
46,0.515
51,0.52
58,0.513
60,0.52
61,0.52
69,0.524
79,0.52
94,0.51
95,0.51
208,0.51
211,0.51
241,0.51
336,0.5
355,0.497
358,0.505
362,0.505
366,0.51
368,0.505
373,0.5
376,0.505
387,0.505
457,0.497
480,0.496
a1494572580,0.5
39,0.49
42,0.489
59,0.458
61,0.467
118,0.45
121,0.45
122,0.443
123,0.44
125,0.449
135,0.44
143,0.45
199,0.44
200,0.45
201,0.441
243,0.468
337,0.452
392,0.468
478,0.487
a1494838980,0.487
178,0.488
184,0.5
281,0.522
303,0.519
332,0.47
333,0.469
334,0.47
377,0.47
a1494918180,0.45
40,0.45
194,0.499
a1495018080,0.489
61,0.489
148,0.489
200,0.461
a1495091460,0.481
20,0.481
271,0.491
272,0.491
274,0.491
311,0.481
365,0.481
481,0.524
494,0.524
495,0.525
a1495180560,0.539
59,0.54
229,0.483
a1495445640,0.54
113,0.54
281,0.539
"
