APM
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491231600,2.044
a1491294420,2.037
174,2.02
314,1.954
337,1.953
338,1.951
395,1.951
422,1.952
a1491375900,1.95
71,2.017
172,1.95
437,1.987
a1491471780,1.95
a1491569820,1.987
a1491807900,1.99
361,1.913
401,1.913
427,1.979
504,1.911
a1491894300,1.935
150,1.935
227,1.968
242,1.979
256,1.989
261,1.99
291,1.999
292,2.05
298,2.05
350,2
505,1.941
a1491986100,2.037
401,1.951
a1492071240,2.047
138,2.04
425,2.035
a1492499100,1.95
73,2
77,2
381,1.956
394,1.989
435,1.954
484,1.951
a1492587360,2.001
132,2.027
170,2.029
212,2.029
222,2.03
246,2.048
351,2.048
452,2.079
473,2.031
a1492671900,2.002
41,2.083
51,2.009
128,2.062
383,2.097
391,2.097
468,2.097
a1492771740,2.096
120,2.1
165,2.081
280,2.081
"
