CMC
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491203100,82.64
37,82.66
50,83
190,82.85
411,82.05
415,82
a1491290700,81.47
38,81.6
39,81.6
40,81.6
190,81.18
192,81.39
193,81.39
194,81.39
373,81.54
392,81.74
417,81.67
a1491375900,82.4
270,81.85
320,82.76
384,82.88
464,82.49
a1491462420,80.55
56,80.8
162,80.79
396,80.51
423,81.03
431,81.05
439,81.09
486,81.24
a1491557040,80.86
187,80.93
191,80.58
197,80.38
201,80.3
204,80.53
213,80.76
247,81.04
248,81.05
253,81.21
305,81.35
a1491807900,81.35
152,81.38
156,81.33
165,81.39
207,81.36
384,81.38
385,81.3
a1491894300,80.65
241,80.65
471,79.98
a1492003920,80.72
4,80.65
24,80.64
35,80.48
60,80.59
62,80.64
105,80.44
107,80.44
a1492067700,79.41
41,79.61
45,80.19
46,80.2
47,80.2
120,80
165,79.95
206,80.56
207,80.56
221,81.45
226,81.23
263,81.11
274,81.04
294,80.72
315,80.69
322,80.71
326,80.64
331,80.67
344,80.55
358,80.75
363,80.69
377,80.3
378,80.23
380,80.41
381,80.56
382,80.55
390,81.34
391,81.32
406,81.5
409,81.65
440,81.34
442,81.14
a1492499100,81
87,80.43
140,80.65
143,81.04
158,80.94
384,79.91
409,79.88
448,79.8
450,80.01
463,79.93
469,79.74
a1492588260,79.3
50,79.54
51,79.54
52,79.54
90,79.79
296,79.88
312,79.88
333,79.82
338,79.77
339,79.67
377,80.1
382,80.2
a1492687200,78.79
a1492758300,80.05
399,79.98
"
