EMH1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491202980,9.5
243,9.749
375,9.75
a1491317460,9.84
a1491379080,9.845
23,9.601
443,9.301
a1491480600,9.301
a1491548700,9.7
68,9.699
116,9.5
a1491820860,9.45
59,9.201
62,9.1
81,8.806
82,8.65
86,8.481
90,8.749
91,8.749
105,8.389
106,8.65
107,8.65
118,8.85
119,8.85
136,9.089
265,9
266,9
a1491894180,9.08
4,8.96
52,9
105,8.999
154,9.1
285,9.15
286,9.2
287,9.33
440,9.33
446,9.33
a1491984060,9.45
273,9.343
320,9.599
a1492082280,9.519
13,9.589
101,9.451
111,9.451
204,9.451
a1492592460,9.47
8,9.46
63,9.45
a1492671780,9.445
3,9.3
65,9.499
"
