ETG
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491202980,8.06
89,8.036
a1491303960,8
12,8
238,8.057
a1491462240,7.993
267,8.1
a1491548700,8.05
40,8.079
240,8.079
334,8.079
a1491807720,8.12
58,7.965
59,7.941
161,7.82
163,7.82
225,7.949
a1491899040,8.02
144,7.999
303,7.967
a1492498980,7.94
73,7.94
333,7.999
a1492585380,7.78
201,7.958
a1492672260,7.9
30,7.831
31,7.819
36,7.814
39,7.814
42,7.813
300,7.825
a1492763700,7.814
151,7.815
231,7.815
234,7.65
314,7.815
"
