EUCA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491205260,7.251
75,7.299
206,7.266
235,7.28
342,7.301
355,7.3
360,7.3
379,7.3
420,7.3
a1491306720,7.302
80,7.302
85,7.3
87,7.3
104,7.3
153,7.3
155,7.3
a1491375780,7.3
117,7.3
136,7.3
156,7.324
158,7.3
183,7.3
190,7.3
194,7.3
222,7.33
228,7.449
229,7.41
281,7.404
307,7.36
323,7.403
394,7.449
441,7.446
482,7.401
498,7.446
a1491467880,7.45
1,7.45
11,7.45
62,7.365
102,7.4
134,7.4
135,7.44
136,7.44
235,7.363
237,7.449
308,7.448
328,7.449
344,7.467
a1491550920,7.39
5,7.39
37,7.382
73,7.476
309,7.369
343,7.43
361,7.43
a1491808680,7.37
85,7.4
269,7.401
437,7.401
473,7.401
a1491894180,7.36
38,7.361
44,7.361
58,7.422
77,7.361
154,7.361
179,7.31
218,7.2
219,7.2
330,7.22
a1491986040,7.19
14,7.19
69,7.19
88,7.18
160,7.18
321,7.18
390,7.15
a1492068840,7.005
50,6.97
93,6.94
144,6.921
185,6.968
318,6.933
336,6.967
400,6.901
475,6.891
a1492498980,6.9
162,6.85
317,6.828
333,6.864
347,6.811
439,6.895
454,6.89
472,6.89
475,6.89
506,6.822
a1492585380,6.85
1,6.85
2,6.85
14,6.86
77,6.86
79,6.866
80,6.9
102,6.979
105,6.978
106,6.99
135,7.01
148,7.02
239,7.105
242,7.149
247,7.075
312,7.05
430,7.025
466,7.025
500,7.025
501,7.025
502,7
503,6.99
a1492679400,6.9
1,6.9
4,6.9
5,6.9
8,6.915
28,6.999
40,7.05
69,7
72,7.08
74,7.08
102,7.08
121,7.08
145,7.08
150,7.001
234,6.95
287,6.951
340,6.96
342,6.958
367,6.922
379,6.922
a1492760100,6.999
93,7.015
401,7.046
402,6.99
456,6.99
"
