ILM1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491202980,9.6
25,9.6
a1491311940,9.55
104,9.451
a1491393900,9.47
a1491466620,9.45
32,9.42
55,9.42
241,9.3
289,9.35
313,9.23
387,9.3
416,9.299
424,9
a1491550740,9
4,9
213,9.1
a1491813720,9
327,8.911
a1491980580,9.1
24,8.94
48,9
236,9.219
289,9.249
a1492071900,9.249
226,9.289
300,9.25
350,9.3
a1492498980,9.19
19,9.1
41,9.09
49,9.1
a1492585620,8.99
34,9.1
37,9.101
41,9.1
94,9.1
109,9.051
159,9.099
191,9
203,9.1
255,8.96
271,9.1
346,9
431,9.1
462,9.1
473,9.144
a1492671780,9.001
4,9
23,8.91
24,8.91
27,9
28,9
49,9.149
65,9.151
70,9.001
75,9.25
99,9.349
135,9.35
153,9.1
208,9
264,9
282,9
295,9
322,9.398
323,9.299
a1492758180,9.388
5,9.24
73,9.498
81,9.498
86,9.241
114,9.638
228,9.498
255,9.55
334,9.5
340,9.35
343,9.44
347,9.499
352,9.59
362,9.401
385,9.469
386,9.47
425,9.599
445,9.421
453,9.278
485,9.45
504,9.39
"
