M7U
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491202980,9.8
41,9.875
88,9.995
139,9.871
168,9.965
288,9.808
382,9.964
419,9.958
427,9.976
446,9.995
447,10
469,9.92
507,9.95
a1491290040,9.999
48,10
77,9.98
95,9.98
151,9.98
446,10
a1491390300,10.15
2,10.15
123,10.245
147,10.245
170,10.2
235,10.25
236,10.25
248,10.25
254,10.21
263,10.21
a1491465060,10.105
6,10.035
88,10.145
223,10.06
335,10.235
362,10.06
415,10.235
458,10.195
a1491548700,9.98
1,9.996
3,10.185
165,10.165
a1491810720,10.065
44,10.08
45,10.045
153,10.065
230,10.09
272,10.095
371,10.085
372,10.09
420,10.195
a1491894180,10.195
3,10.17
97,10.06
406,10.19
a1491981060,10.195
28,10.18
90,10.185
168,10.11
284,10.145
396,10.145
412,10.145
498,10.15
a1492075860,10.18
56,10.19
67,10.14
76,10.19
117,10.2
122,10.2
138,10.16
148,10.16
207,10.105
233,10.175
257,10.2
310,10.2
353,10.225
355,10.23
358,10.23
359,10.23
a1492498980,10.24
6,10.25
52,10.36
70,10.35
80,10.33
113,10.33
141,10.4
147,10.495
245,10.41
338,10.41
349,10.415
a1492585380,10.3
13,10.49
14,10.5
26,10.55
41,10.55
42,10.565
45,10.585
62,10.415
77,10.455
311,10.5
314,10.51
413,10.54
416,10.595
487,10.595
a1492671780,10.6
7,10.745
13,10.735
50,10.55
133,10.645
169,10.645
280,10.6
389,10.6
391,10.6
434,10.615
476,10.65
a1492758180,10.645
36,10.645
41,10.65
58,10.65
68,10.75
72,10.75
330,10.75
346,10.75
380,10.995
450,10.9
497,10.715
507,10.85
"
