MUM
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491202980,14.995
5,14.83
17,14.785
72,14.735
73,14.735
93,14.77
108,14.77
109,14.77
168,14.835
212,14.835
296,14.77
313,14.77
360,14.83
392,14.83
417,14.77
419,14.77
424,14.77
427,14.83
434,14.835
479,14.77
482,14.77
484,14.77
499,14.75
501,14.75
506,14.715
a1491289380,14.84
23,14.84
127,14.83
178,14.84
201,14.765
310,14.815
345,14.83
392,14.845
456,14.8
480,14.795
490,14.85
491,14.85
a1491375780,14.9
1,14.805
2,14.925
3,14.95
41,14.95
52,14.945
90,14.885
132,14.89
150,14.89
197,14.94
225,14.96
247,14.96
318,14.94
319,14.92
348,14.92
380,14.96
385,14.92
398,14.96
417,14.92
418,14.895
419,14.81
455,14.9
483,14.945
504,14.9
506,14.95
507,14.95
a1491462180,14.95
4,14.9
8,14.855
28,14.94
45,14.88
51,14.94
60,14.94
64,14.88
73,14.88
77,14.88
122,14.88
123,14.94
143,14.94
203,14.92
218,14.88
291,14.9
293,14.9
372,14.86
409,14.9
411,14.92
416,14.92
466,14.9
478,14.9
488,14.9
493,14.9
498,14.94
500,14.94
501,14.94
502,14.94
506,14.94
a1491548580,14.89
138,14.89
154,14.89
180,14.94
207,14.94
235,14.94
362,14.895
363,14.895
399,14.925
400,14.895
480,14.895
482,14.94
490,14.94
506,14.9
507,14.9
a1491807780,14.85
10,14.885
17,14.885
19,14.95
29,14.94
37,14.91
60,14.94
69,14.94
72,14.89
124,14.935
137,14.93
145,14.89
226,14.925
291,14.895
363,14.89
366,14.89
379,14.89
392,14.92
394,14.92
425,14.915
426,14.915
448,14.89
464,14.915
477,14.915
478,14.88
480,14.88
481,14.88
490,14.935
496,14.925
501,14.91
506,14.935
507,14.935
a1491894180,14.955
55,14.95
57,14.895
90,14.88
111,14.88
125,14.94
189,14.88
202,14.88
274,14.94
298,14.94
341,14.88
378,14.88
427,14.88
451,14.88
459,14.88
480,14.88
488,14.94
489,14.945
a1491981600,14.92
2,14.94
92,14.94
121,14.885
157,14.82
195,14.85
198,14.85
203,14.85
400,14.8
450,14.7
455,14.7
467,14.825
476,14.8
477,14.81
489,14.81
a1492067880,14.815
7,14.815
116,14.79
119,14.8
185,14.8
295,14.75
396,14.725
458,14.72
492,14.725
a1492498980,14.605
67,14.8
75,14.85
95,14.9
96,14.95
152,14.87
154,14.87
174,14.875
207,14.86
233,14.85
235,14.86
236,14.825
262,14.86
321,14.895
368,14.95
374,14.9
375,14.9
407,14.945
435,14.945
443,14.945
470,14.925
473,14.925
493,14.92
502,14.92
503,14.96
506,14.95
a1492585380,14.955
1,14.955
13,15
25,14.965
71,14.905
72,14.96
110,14.96
154,15
155,15
156,15.05
158,15.145
160,15.15
167,15.22
205,15.21
208,15.2
261,15.135
333,15.135
346,15.055
353,15.1
458,15.03
481,15.01
482,15.015
483,15.025
503,15.025
504,15.1
506,15.1
a1492671780,14.98
20,14.97
47,15.045
52,14.97
53,14.97
54,14.97
109,14.98
122,15.05
177,14.97
186,14.97
191,15
217,15.15
255,15.065
306,15.095
319,14.975
374,14.975
452,15.1
500,14.95
504,15.015
506,15.025
a1492758480,14.995
21,14.995
24,15
63,14.925
121,14.915
125,14.9
213,14.765
224,14.885
239,14.89
241,14.89
262,14.905
299,14.905
328,14.73
388,14.845
428,14.705
431,14.71
453,14.795
"
