SZZ
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491202980,9.26
5,9.28
16,9.261
18,9.247
19,9.24
45,9.24
48,9.24
72,9.24
84,9.24
90,9.24
93,9.24
97,9.24
110,9.24
127,9.24
128,9.24
156,9.24
170,9.23
181,9.201
279,9.22
345,9.245
361,9.23
364,9.23
366,9.23
379,9.22
418,9.22
440,9.22
451,9.22
463,9.22
a1491289380,9.21
16,9.21
18,9.21
20,9.21
53,9.235
119,9.235
174,9.235
175,9.235
178,9.235
287,9.235
291,9.235
358,9.235
363,9.235
419,9.235
420,9.235
421,9.23
475,9.25
a1491376140,9.25
13,9.259
23,9.259
27,9.27
28,9.26
65,9.245
73,9.25
108,9.27
119,9.27
197,9.3
214,9.3
253,9.271
260,9.303
274,9.27
275,9.27
306,9.27
310,9.26
327,9.259
358,9.259
424,9.252
442,9.297
443,9.301
450,9.32
467,9.301
486,9.32
492,9.32
500,9.32
a1491462360,9.3
6,9.276
33,9.275
38,9.3
52,9.3
56,9.32
79,9.302
80,9.348
168,9.302
179,9.302
187,9.301
223,9.302
225,9.32
238,9.311
252,9.33
253,9.33
271,9.311
272,9.34
286,9.35
397,9.35
405,9.351
406,9.35
431,9.392
432,9.351
433,9.392
438,9.331
503,9.35
a1491548580,9.35
106,9.339
133,9.302
140,9.302
153,9.301
280,9.301
283,9.301
320,9.302
384,9.329
386,9.301
388,9.301
415,9.302
418,9.301
424,9.301
440,9.301
455,9.301
501,9.34
503,9.34
a1491807780,9.301
2,9.35
5,9.399
46,9.35
80,9.4
81,9.366
85,9.384
98,9.391
140,9.419
185,9.377
243,9.36
247,9.36
354,9.351
356,9.35
422,9.351
442,9.39
443,9.45
454,9.459
455,9.5
482,9.509
485,9.5
490,9.511
501,9.49
502,9.5
a1491894180,9.369
4,9.4
5,9.394
99,9.4
120,9.4
124,9.4
127,9.4
156,9.401
198,9.402
237,9.402
244,9.401
285,9.44
299,9.44
322,9.409
323,9.45
384,9.41
425,9.475
432,9.475
482,9.43
501,9.484
a1491982140,9.411
35,9.442
42,9.451
62,9.4
128,9.447
141,9.4
199,9.449
240,9.4
295,9.4
302,9.36
386,9.36
429,9.355
441,9.35
444,9.375
476,9.385
a1492066980,9.44
2,9.401
3,9.391
42,9.4
54,9.4
96,9.4
136,9.4
158,9.4
161,9.4
176,9.35
177,9.35
242,9.35
245,9.35
258,9.35
277,9.35
289,9.35
322,9.35
330,9.35
333,9.35
386,9.4
404,9.351
444,9.35
464,9.35
473,9.35
495,9.368
498,9.389
499,9.415
503,9.35
504,9.351
a1492498980,9.351
49,9.36
87,9.35
109,9.35
116,9.35
124,9.35
137,9.35
148,9.35
183,9.35
215,9.35
235,9.35
244,9.35
246,9.35
255,9.35
263,9.35
275,9.35
304,9.35
334,9.35
362,9.35
375,9.35
388,9.35
410,9.35
415,9.35
443,9.32
452,9.32
468,9.32
475,9.32
495,9.32
498,9.32
501,9.32
a1492585380,9.32
48,9.32
63,9.32
73,9.32
83,9.32
98,9.32
108,9.32
124,9.32
138,9.32
141,9.32
148,9.32
169,9.32
200,9.32
205,9.32
217,9.32
255,9.34
260,9.34
290,9.34
314,9.34
319,9.34
321,9.34
335,9.34
350,9.34
365,9.34
381,9.34
409,9.34
434,9.34
440,9.34
462,9.34
475,9.34
483,9.34
485,9.358
489,9.34
491,9.34
492,9.34
498,9.34
a1492672260,9.35
17,9.35
24,9.35
26,9.35
31,9.35
41,9.35
56,9.35
70,9.35
71,9.35
100,9.35
101,9.35
117,9.35
144,9.35
148,9.35
162,9.35
176,9.35
181,9.382
222,9.35
227,9.379
266,9.35
280,9.35
287,9.35
288,9.35
295,9.35
311,9.35
313,9.35
319,9.35
325,9.35
334,9.35
341,9.35
344,9.35
355,9.35
371,9.35
395,9.35
414,9.35
430,9.35
444,9.35
450,9.35
458,9.35
472,9.35
474,9.35
490,9.379
491,9.399
a1492758300,9.399
1,9.399
2,9.399
40,9.399
42,9.4
89,9.35
99,9.35
103,9.35
119,9.35
134,9.35
146,9.35
148,9.35
163,9.35
174,9.35
178,9.35
193,9.35
208,9.35
212,9.35
223,9.35
238,9.35
242,9.35
254,9.35
269,9.35
284,9.35
285,9.35
293,9.35
299,9.35
315,9.35
328,9.35
330,9.35
344,9.35
358,9.386
373,9.358
404,9.351
420,9.35
437,9.35
442,9.35
448,9.35
450,9.35
461,9.35
466,9.35
468,9.35
481,9.35
488,9.35
496,9.35
497,9.35
501,9.35
"
