90A
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1486470960,0.321
14,0.325
16,0.329
38,0.325
39,0.325
82,0.329
83,0.329
116,0.321
131,0.323
142,0.31
164,0.32
222,0.32
223,0.32
a1486545540,0.332
4,0.33
15,0.332
17,0.332
37,0.325
45,0.335
78,0.335
119,0.325
123,0.32
233,0.329
293,0.329
294,0.33
310,0.336
311,0.336
368,0.32
377,0.32
a1486627500,0.311
265,0.311
428,0.311
a1486713900,0.299
19,0.299
416,0.286
422,0.298
a1486978500,0.304
1,0.304
304,0.3
382,0.295
a1487061480,0.298
216,0.295
255,0.28
396,0.31
398,0.31
431,0.295
a1487164800,0.314
110,0.315
a1487259180,0.304
a1487335620,0.27
a1487598960,0.27
117,0.27
a1487664300,0.271
80,0.287
325,0.29
334,0.29
370,0.29
384,0.28
385,0.28
a1487750700,0.295
24,0.3
155,0.301
239,0.301
388,0.288
414,0.28
498,0.27
a1487853240,0.25
26,0.25
106,0.255
138,0.258
"
