HG1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1486368180,44
10,44.245
88,44.245
107,44.245
125,44.245
126,44.025
176,44.005
255,44.245
270,44.25
285,44.25
299,44.25
314,44.25
329,44.25
344,44.25
359,44.25
374,44.25
388,44.25
404,44.25
418,44.25
433,44.25
448,44.25
463,44.25
477,44.25
478,44.25
481,44.1
493,44.25
507,44.25
a1486456260,44.595
4,44.325
6,44.105
8,44.105
20,44.1
31,44.19
45,44.185
56,44.18
85,44.18
86,44.18
87,44.25
88,44.25
110,44.4
113,44.4
141,44.4
169,44.4
198,44.4
227,44.25
254,44.395
282,44.395
310,44.395
339,44.395
367,44.395
379,44.4
390,44.395
395,44.4
423,44.4
451,44.49
469,44.25
479,44.49
a1486541220,44.5
6,44.5
24,44.65
52,44.64
70,44.6
77,44.5
109,44.6
115,44.6
137,44.64
165,44.64
193,44.64
222,44.64
229,44.59
278,44.655
284,44.76
296,44.795
326,44.705
334,44.7
348,44.705
363,44.705
391,44.705
412,44.705
413,44.7
437,44.705
441,44.8
443,44.81
445,44.75
447,44.81
456,44.75
498,44.75
503,44.76
a1486628820,44.81
4,44.81
5,44.81
32,44.81
42,44.8
48,44.8
59,44.81
64,44.9
66,44.9
71,44.9
89,44.98
117,44.98
145,44.98
146,44.95
154,44.95
185,44.9
227,44.95
228,44.9
231,44.95
244,44.9
286,44.98
314,44.98
331,44.98
343,45
371,45
386,45
388,44.95
399,45.045
401,45
406,45
418,44.995
427,44.995
437,44.995
452,45
454,45
483,45.05
a1486713780,45
10,45
17,45
28,45.1
56,45.05
68,45.05
84,45.05
88,45.05
97,45
102,45
121,45
125,44.95
141,45.05
169,45.05
181,45
182,45
184,45
197,45.05
225,45.05
255,45.05
282,45.05
310,45.05
338,45.05
340,45.045
367,45.05
395,45.05
401,45.05
415,45
451,45.045
460,45.05
480,45.05
501,45.05
a1486973580,45.1
89,45.35
95,45.35
117,45.31
137,45.31
261,45.34
267,45.34
326,45.4
327,45.4
425,45.405
436,45.41
474,45.21
476,45.22
486,45.13
487,45.005
494,45.005
496,45.005
497,45.005
a1487064000,45.495
22,45.5
241,45.495
271,45.495
328,45.75
389,45.75
422,45.75
429,45.745
a1487153040,45.75
12,46.135
55,46.05
215,46.05
227,46.05
238,46.05
360,46.29
a1487232180,46.75
20,46.705
111,46.69
127,46.69
144,46.7
146,46.7
152,46.715
153,46.715
154,46.5
156,46.5
175,46.45
280,46.395
282,46.395
294,46.395
311,46.395
386,46
476,46.095
484,46.095
507,46.1
a1487320080,46.395
26,45.975
82,46.095
90,46.1
97,46.095
100,46.105
143,46.105
151,46.495
187,46.495
347,46.6
468,46.68
472,47
475,47
a1487577780,46.5
8,46.495
30,46.49
32,46.49
42,47.25
48,47.25
57,47.29
74,47.45
75,47.45
76,47.62
78,47.65
83,47.85
84,47.745
98,47.445
146,47.355
176,47.355
202,47.355
223,47.52
232,47.5
233,47.5
238,47.5
239,47.5
260,47.5
282,47.5
312,47.5
348,47.5
355,47.5
360,47.455
415,47.32
478,47.45
479,47.45
480,47.45
481,47.45
507,47.45
a1487664180,47.45
39,47.55
40,47.75
45,47.75
46,47.85
47,47.99
108,48
143,48
146,48
148,48
152,48
164,48
189,48
223,48
251,48
255,47.99
299,48
373,48
386,48
405,48
467,48
497,48
507,48
a1487750580,48
18,48
50,48
51,48
95,48
131,47.85
153,48
154,48
159,48
175,48
184,48
208,48
211,48
213,48
219,48
221,48
227,48
262,48.1
282,48.1
284,48
321,47.995
371,47.99
383,48
393,48
397,48
400,48
401,48
403,48
412,48
420,48
498,48.095
a1487843040,47.705
6,47.875
15,47.8
98,47.765
99,47.955
144,47.995
154,47.56
264,47.955
401,47.96
402,47.965
403,47.965
a1487926560,47.955
58,47.96
66,47.96
72,47.96
211,47.96
231,47.605
237,47.955
266,47.955
347,47.945
375,47.945
"
