O3P
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1486368420,33.95
8,33.8
13,33.7
230,33.595
341,33.58
380,33.49
385,33.49
486,33.43
488,33.4
500,33.4
a1486461480,33.38
48,33.38
59,33.4
203,33.33
256,33.39
331,33.32
357,33.275
a1486541100,33.495
217,33.485
244,33.465
a1486632060,33.38
10,33.3
32,33.5
369,33.515
400,33.515
a1486721400,33.52
35,33.52
a1486975200,33.38
10,33.405
111,33.4
184,33.405
258,33.275
342,33.23
382,33.305
426,33.29
441,33.26
464,33.295
466,33.27
468,33.24
469,33.24
a1487059500,33.405
126,33.425
127,33.425
128,33.43
279,33.485
302,33.475
337,33.49
357,33.48
413,33.54
a1487148720,33.95
23,33.95
64,34
66,34
98,34.16
101,34.12
189,34.35
206,34.335
276,34.275
351,34.26
448,34.19
457,34.23
a1487232300,34.2
109,34.2
205,34.09
267,33.945
333,33.935
364,33.93
365,33.925
409,33.94
460,33.94
a1487318700,33.87
42,33.955
64,33.905
82,33.87
100,33.865
105,33.895
181,34.085
a1487577900,34.215
141,34.29
291,34.18
a1487666880,34.305
18,34.305
206,34.5
255,34.51
336,34.54
445,34.56
a1487750700,34.7
17,34.785
64,34.8
83,34.775
299,34.46
399,34.21
477,34.27
483,34.3
488,34.3
a1487837100,34.255
53,34.195
89,34.22
114,34.195
129,34.22
400,34.01
445,34.08
492,34.05
496,34.13
a1487928720,34.13
15,34.13
37,34.14
86,34.04
225,34.02
226,34.06
253,34.1
270,34.1
272,34.1
294,34
324,34.02
"
