2KD
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1488787500,20.5
63,20.15
210,20.625
481,20.49
a1488963360,20.45
43,20.5
63,20.435
338,20.405
a1489145100,20.23
2,20.035
169,20.1
a1489392360,20
157,20
333,20.195
a1489480740,20.04
1,20.04
4,20.15
a1489576140,19.83
146,20.03
153,19.995
154,19.995
162,20.04
a1489737900,19.95
436,20.015
a1489997100,19.665
13,19.8
287,19.595
288,19.61
307,19.63
409,19.64
a1490105700,19.43
a1490196180,19.24
a1490270280,19.265
97,19.475
163,19.395
a1490342820,19.85
138,19.415
"
