AJ91
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1488787800,9.25
2,9.3
30,9.25
79,9.3
98,9.45
121,9.45
a1488882900,9.4
214,9.205
a1488970740,9.24
a1489060980,9.449
1,9.49
6,9.49
8,9.49
12,9.5
15,9.5
48,9.6
76,9.491
165,9.599
a1489134000,9.55
64,9.4
96,9.4
208,9.4
a1489393200,9.401
1,9.4
3,9.1
5,8.8
7,8.59
17,8.98
23,9.049
39,8.999
77,8.9
a1489479300,9.05
57,9.15
a1489568340,9.26
346,9.2
352,9.05
358,9.05
a1489663140,9.299
a1490105640,9
133,8.85
a1490172300,8.85
101,8.85
104,8.61
116,8.7
121,8.699
224,8.78
a1490352600,8.9
"
