BTBA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1488791280,0.5
48,0.482
49,0.48
296,0.499
309,0.5
a1488877080,0.48
2,0.48
a1489051860,0.465
13,0.461
a1489135140,0.47
27,0.48
30,0.48
51,0.47
a1489397160,0.506
a1489483560,0.48
254,0.48
389,0.45
a1489578660,0.479
a1489662540,0.431
56,0.431
62,0.43
115,0.445
a1489747380,0.43
44,0.42
299,0.418
300,0.39
347,0.4
a1489996980,0.41
233,0.422
241,0.41
477,0.4
486,0.401
505,0.385
507,0.38
a1490083380,0.4
36,0.43
49,0.469
63,0.457
64,0.41
67,0.45
76,0.44
94,0.44
107,0.44
135,0.468
395,0.455
400,0.455
a1490169780,0.475
332,0.449
a1490256180,0.45
a1490345940,0.421
"
