GKS
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1488815040,63.56
6,64.14
9,64.14
a1488875400,64.1
157,64
261,64
403,64
416,64
429,64
a1488960300,64
4,64.29
23,64.29
85,64
157,64.1
187,64
209,63.9
356,64.1
a1489046580,63.99
32,63.23
59,62.89
60,62.75
164,63.87
475,63.69
506,63.64
a1489132980,63.99
176,63.79
209,63.49
257,63.79
371,63.2
486,62.81
493,63.29
a1489393140,62.81
5,62.79
6,63.74
92,62.82
287,63.29
338,63.29
404,63.29
a1489478580,63.94
266,63.72
329,63.83
361,63.82
a1489574700,63.2
26,63
139,62.75
241,63
279,63.77
342,63.88
a1489660440,63.02
17,63.93
79,63.81
139,63.83
218,63.02
a1489757340,63.69
24,63.66
55,63.6
140,63.51
a1489996980,63.95
12,63.95
87,63.97
138,63.08
321,63.65
433,63.65
a1490083380,63.01
73,63.01
155,63.49
384,63.49
425,63
472,63
500,62.75
a1490169780,63.35
151,62.01
260,62
261,61.5
294,60.7
377,60.88
416,61.58
444,61.21
494,62
506,61.39
a1490267580,61.74
3,61.74
126,61.74
312,61.72
a1490356020,61.73
239,61.75
276,61.75
"
