KTF
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1488787500,41.76
9,41.105
10,41.105
84,41.22
90,40.93
95,40.93
118,41.27
122,41.025
317,41.205
385,41.205
386,40.955
429,41.205
430,41.225
a1488876300,41.38
19,41.155
83,41.425
155,41.15
276,41.25
345,41.15
348,41.285
349,41.27
353,41.235
359,41.295
377,41.255
422,41.27
a1488960300,41.005
10,41.04
59,41
60,41.005
66,41.04
75,41.05
102,41.045
147,41.1
308,40.995
311,41.59
387,41.03
390,40.9
392,40.82
398,40.865
448,41.045
456,40.99
485,40.99
a1489046700,41.13
44,41.125
86,41.225
87,41.005
315,40.855
391,40.975
398,40.985
404,41.1
479,41.205
480,41.205
a1489136280,41.6
269,41.555
273,41.635
357,41.31
406,41.24
407,41.19
a1489402860,41.445
204,41.36
302,41.43
a1489479780,41.425
30,41.5
37,41.64
58,41.64
162,41.95
264,41.5
352,41.42
363,41.54
371,41.3
433,41.495
a1489574280,41.5
175,41.6
250,41.675
253,41.675
272,41.675
a1489652640,41.445
84,41.48
307,41.375
a1489760040,41.86
10,41.865
a1489997220,41.025
a1490095080,41
56,41.53
98,40.785
309,40.9
a1490192820,40.545
109,40.65
a1490272680,40.64
70,40.95
71,40.95
a1490355120,41.23
265,40.8
281,40.875
"
