SSUN
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1488787500,635.5
6,633
13,633
14,633
16,631.75
17,631.7
22,628.75
28,633.05
45,632
83,631.55
88,632
123,631.4
183,631.05
184,635.4
264,632
296,631.45
336,631.7
373,629.1
377,628.9
380,628.9
422,629.15
427,629.15
a1488873900,636.9
34,639
75,639.9
114,639.55
142,639.5
143,639.5
179,640.45
244,638.25
255,637.25
348,639
356,639
395,637.5
396,637.5
463,637.5
483,640
489,639.1
491,639.5
494,639.5
498,639.45
a1488960300,640
6,641.75
21,640.05
30,640
71,641
72,641
74,637.4
186,637.5
209,637.5
225,637.4
335,635.7
365,636.9
399,636.2
400,636.05
408,635.05
415,638.65
a1489046700,630.6
17,629
25,626.7
47,628.15
49,628
96,626.7
114,625.15
145,625
153,624.75
159,626.8
292,626.8
295,626
312,628.35
358,627.15
359,626
360,626
379,625.8
392,627.7
407,627.3
497,626.85
503,627.25
a1489134180,628.7
23,629.35
53,630.4
76,630
144,630.65
181,630.65
205,630.95
246,631.2
269,631.5
295,628.3
307,629
319,628.7
329,628.25
391,628.45
a1489392300,641.9
3,640.1
15,640.55
28,640.15
32,640.45
35,640.15
109,640.6
111,640.75
133,640
213,641.65
247,642
274,642
340,640.65
a1489478700,652
1,652.2
3,652.2
8,652.45
9,652.45
10,652.4
12,652
24,652.35
63,653.15
67,651.5
88,651.5
115,651.55
144,651.5
146,652.2
171,652.2
176,652.2
232,651.6
255,651.15
262,651.1
269,650.65
287,652.95
295,651.05
349,650.75
371,652
393,651.8
428,651.6
435,650.05
436,650.05
442,649.35
476,649.8
480,649.85
501,650
a1489565100,659.5
1,659.05
4,658.85
5,659.25
7,658.85
8,659.5
9,659.7
12,659.25
16,658.95
19,658.6
34,659
63,656.65
105,656.85
121,656.8
167,658
198,658
240,658.95
253,658.85
255,657.5
266,659
341,658
353,658.8
400,657
401,656.95
424,658.8
428,658.8
431,659
435,659
453,659
454,656.9
462,656.95
a1489651500,673
1,671.5
4,670.55
8,670.15
9,671.35
35,671.4
52,671.4
56,671.4
58,671.35
68,671.5
82,671.5
86,671.5
88,671.6
101,671.5
102,671.6
103,672
106,671.65
150,675
151,675
275,673
322,672.45
325,673
338,672
351,673
353,673
416,672.75
420,671.8
433,673
444,673
451,671.8
496,671.6
a1489737900,671.85
9,671.05
10,670.65
18,670.95
31,670.05
32,668.3
49,668.15
58,669.3
61,668.05
66,669.45
70,667.75
77,668.1
131,669.9
132,668
181,669.85
246,672
318,669.35
396,668.65
434,669.5
449,666
499,670.6
a1489997100,671
12,670.5
18,669.8
23,669.85
28,670.3
29,670.3
85,669.75
87,669.75
89,669.75
92,668.85
147,669.25
173,670.65
186,670.35
187,669.95
188,667.65
192,670.35
194,670.35
196,670.7
310,671.85
316,671.35
317,671.35
318,671
319,671.35
320,671
324,671.9
337,672.15
338,672.15
350,671.8
360,672.15
361,673.05
407,674.25
418,675.4
a1490083500,674.15
35,675.5
59,673.25
65,675.1
97,674.3
102,673.65
116,675.75
127,674.7
152,675.9
183,674.8
204,674.7
218,677
235,678.3
258,677.5
282,677.5
301,677.5
356,677.95
372,676.3
413,674.75
427,674.45
428,673.6
431,673.2
435,671.5
463,667.2
470,668.45
471,668.35
483,668.35
a1490169900,675.2
31,677.9
36,677.4
98,675
128,675
294,676
308,676
310,676
384,676.25
414,672.9
488,675.6
a1490256300,665.75
60,663.9
71,665.55
122,666.35
139,667.55
186,665.2
372,668.7
a1490342700,657.5
7,656.7
52,656.05
69,656.8
74,656.8
108,658.05
120,658.05
195,658.9
200,659.3
207,656.65
220,656.4
261,659.35
273,659.35
312,658.9
375,659.6
384,659.6
389,659.6
395,659.6
398,659
419,662.15
"
