VSC
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1488787380,2.7
38,2.7
218,2.7
a1488874200,2.769
54,2.778
144,2.729
398,2.7
448,2.724
459,2.724
462,2.725
474,2.725
a1488974340,2.71
90,2.708
186,2.7
196,2.68
a1489046580,2.586
235,2.646
316,2.582
406,2.676
a1489132980,2.551
53,2.638
119,2.584
144,2.65
383,2.65
450,2.6
a1489392180,2.687
a1489494000,2.608
76,2.697
111,2.629
117,2.607
240,2.6
a1489567140,2.686
22,2.6
a1489658880,2.669
228,2.577
297,2.57
a1489737780,2.547
33,2.631
359,2.548
a1489999320,2.599
11,2.611
136,2.65
300,2.61
423,2.649
a1490083380,2.65
1,2.65
5,2.699
6,2.69
8,2.69
25,2.698
94,2.697
219,2.659
232,2.659
270,2.66
286,2.68
358,2.68
a1490169780,2.7
5,2.699
77,2.68
79,2.679
156,2.611
a1490257980,2.582
342,2.678
a1490342580,2.699
40,2.602
113,2.697
180,2.6
183,2.697
"
