BSP
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496732700,7.7
2,7.739
7,7.74
53,7.711
276,7.734
333,7.71
349,7.7
364,7.692
365,7.69
375,7.69
385,7.691
a1496819100,7.728
5,7.771
24,7.74
25,7.74
152,7.744
315,7.71
326,7.71
327,7.709
440,7.72
a1496905500,7.711
36,7.708
53,7.695
71,7.66
214,7.63
320,7.638
346,7.625
465,7.634
502,7.644
a1497003960,7.644
2,7.604
184,7.664
a1497251100,7.666
134,7.578
213,7.562
232,7.562
279,7.55
294,7.55
369,7.55
425,7.519
470,7.53
473,7.55
484,7.55
a1497346080,7.505
96,7.499
274,7.518
286,7.505
287,7.515
288,7.505
289,7.519
294,7.51
295,7.505
342,7.497
a1497443640,7.53
99,7.5
a1497517140,7.49
74,7.48
a1497604560,7.639
a1497855900,7.78
5,7.779
18,7.779
26,7.779
39,7.75
56,7.759
110,7.751
154,7.75
155,7.75
431,7.714
488,7.723
491,7.732
a1497942300,7.764
3,7.78
91,7.779
129,7.73
131,7.755
180,7.731
415,7.725
a1498039920,7.69
176,7.727
254,7.7
a1498123920,7.571
26,7.57
247,7.55
a1498209660,7.54
43,7.48
253,7.429
304,7.415
358,7.447
a1498460700,7.555
61,7.474
115,7.418
295,7.461
"
