FAM1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496732580,1.311
72,1.311
a1496908740,1.25
92,1.289
94,1.3
133,1.22
a1496997240,1.22
a1497257400,1.205
21,1.204
129,1.204
a1497337380,1.205
a1497423780,1.26
a1497510180,1.225
65,1.183
73,1.183
289,1.183
345,1.224
368,1.183
408,1.183
a1497596580,1.16
26,1.224
a1497855960,1.101
46,1.123
54,1.122
87,1.1
91,1.089
164,1.08
201,1.079
213,1.051
218,1.08
237,1.1
249,1.123
301,1.159
486,1.082
500,1.081
a1497942180,1.081
3,1.159
179,1.182
a1498028700,1.081
54,1.085
123,1.085
a1498122900,1.14
8,1.139
90,1.14
222,1.14
225,1.1
a1498201560,1.23
20,1.16
169,1.175
177,1.16
216,1.15
270,1.199
a1498460700,1.11
12,1.11
"
