GBRA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496755020,418
a1496828340,417.3
348,416.2
a1496905500,416.85
24,416.5
494,413.3
a1496991900,414.5
15,414.85
111,414.3
192,414.25
433,413.95
489,415.4
a1497253140,412
29,412
303,411
446,410.3
a1497337500,411.05
61,412.4
183,413.15
270,412.15
273,412.15
460,412.8
462,412.8
a1497427800,415.7
159,414.8
209,414.3
a1497521340,411.5
a1497596700,415.85
480,419.7
a1497855900,423.3
6,425
a1497942300,428.85
134,427.7
171,427.7
229,427.6
422,427.7
448,426
a1498041660,425.7
162,425.85
a1498217160,422.25
121,421.65
a1498460700,422.15
40,421.4
"
