HXCK
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496824440,1.212
a1496914320,1.239
107,1.2
a1496994480,1.238
37,1.201
a1497263520,1.229
5,1.258
72,1.229
110,1.26
120,1.213
127,1.222
a1497349500,1.263
136,1.298
171,1.299
194,1.3
a1497426300,1.251
86,1.291
87,1.299
88,1.301
91,1.348
260,1.338
371,1.28
404,1.281
430,1.273
456,1.272
a1497516660,1.28
21,1.3
174,1.271
330,1.271
337,1.3
a1497596580,1.28
45,1.31
141,1.32
216,1.339
217,1.35
221,1.384
308,1.385
310,1.438
313,1.437
498,1.434
505,1.41
a1497855780,1.39
14,1.39
26,1.39
115,1.38
495,1.434
a1497972060,1.429
1,1.43
3,1.434
4,1.434
5,1.434
9,1.44
a1498045140,1.45
59,1.45
62,1.415
63,1.394
70,1.486
a1498114980,1.5
194,1.48
258,1.45
a1498202520,1.401
116,1.362
a1498465200,1.4
16,1.409
273,1.448
"
