IMO
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496732700,2.021
364,2.039
470,2.05
a1496819100,2.039
47,2.025
50,2.037
74,2.026
98,2.018
113,2.02
266,2.029
361,2.032
389,2.032
449,2.033
a1496906520,2.03
1,2.03
88,2.021
110,2.02
131,2.02
275,2.011
332,2.011
338,2.002
390,2
433,2
434,1.999
435,1.999
437,2
455,2.002
a1496991900,1.994
84,1.999
102,2.025
138,2.026
352,2.024
395,2.01
467,2.023
470,2.023
478,2.027
480,2.033
a1497251100,2.024
139,2.002
159,2.002
266,2.018
280,2.018
378,2.007
379,2.002
387,2.002
390,2.003
407,1.991
473,1.991
a1497425280,1.984
36,1.97
87,1.985
126,1.998
389,1.991
391,1.991
a1497520320,1.999
a1497598680,2.002
2,1.998
86,2.001
377,2.001
a1497866520,1.988
309,1.987
a1497942300,2.004
124,1.991
236,1.984
260,1.987
304,1.985
309,1.98
315,1.98
452,1.97
a1498047840,1.99
a1498131900,2.037
74,2.03
76,2.03
81,2.03
93,2.03
101,2.03
109,2.03
112,2.03
113,2.03
114,2.03
117,2.03
119,2.03
123,2.03
133,2.03
134,2.03
135,2.03
136,2.03
146,2.03
147,2.03
148,2.03
150,2.03
151,2.03
152,2.03
154,2.03
155,2.03
158,2.03
159,2.03
161,2.03
162,2.03
163,2.03
165,2.03
166,2.03
167,2.03
172,2.03
182,2.03
183,2.03
185,2.03
186,2.03
189,2.03
190,2.03
217,2.03
218,2.03
219,2.03
220,2.03
222,2.03
223,2.03
a1498209660,2.041
14,2.051
25,2.052
140,2.042
153,2.043
212,2.05
363,2.049
a1498460700,2.01
67,2.017
424,2.043
"
