M7U
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496732580,17.05
1,17.295
5,17.005
12,17.3
22,17.575
52,17.055
59,17.545
61,17.55
62,17.59
68,17.59
69,17.205
70,17.1
88,17.1
91,17.1
93,17.6
100,17.595
110,17.355
113,17.01
117,17.3
129,17.02
131,17
151,17.245
166,16.83
194,16.995
214,17
232,17.25
321,16.785
324,16.785
325,16.78
355,16.785
385,16.78
415,16.78
445,16.78
448,16.78
455,16.995
469,17
477,17.145
507,16.905
a1496818980,17.25
9,17.235
18,16.65
19,16.645
22,16.755
25,16.75
39,16.645
40,16.645
41,16.225
43,15.955
69,16.4
75,16.3
86,16.3
88,16.39
98,16.19
102,16.24
107,16.58
108,16.27
110,16.6
112,16.645
177,16.585
211,16.585
225,16.58
255,16.59
278,16.585
319,16.5
334,16.5
342,16.5
350,16.5
391,16.5
392,16.45
433,16.45
443,16.405
467,16.405
490,16.585
a1496905380,16.59
53,16.435
56,16.43
73,16.395
75,15.91
102,16
119,15.855
134,15.785
147,15.995
153,15.755
158,15.755
171,15.9
197,15.9
203,15.71
218,15.685
223,15.685
241,15.685
246,15.565
247,15.52
255,15.47
256,15.27
259,14.745
261,14.62
262,14.905
263,14.95
264,14.99
267,15
268,15.285
280,14.685
282,14.755
291,15.115
293,15.315
296,14.96
299,14.855
302,15.1
317,15.195
320,15
321,14.995
323,15.29
326,15.28
328,15.005
332,15.005
339,15.055
348,15.28
349,15.28
354,15.38
355,15.39
368,15.345
369,15.405
410,15.3
412,15.2
420,15.005
421,15.005
430,15.235
440,14.86
450,15
469,15
473,15
480,15.155
500,14.96
501,15.135
506,14.905
a1496991900,14.32
6,14.495
7,14.5
9,14.5
10,14.645
12,14.35
14,14.39
15,14.785
30,14.415
35,14.2
45,14.645
55,14.255
58,14.64
74,14.5
81,14.21
84,14.64
91,14.19
92,13.905
96,13.905
97,13.75
107,13.76
110,14
115,14
120,13.995
123,13.9
124,13.8
126,13.9
138,13.99
142,13.99
146,14
147,14
149,14
161,14.495
162,14.085
178,14.095
185,14.495
186,14.5
189,14.5
191,15.005
196,14.9
203,14.32
205,14.85
211,14.75
217,14.67
219,14.895
274,14.86
305,14.41
340,14.41
362,14.84
447,14.71
469,14.71
477,14.895
478,14.93
479,15.03
487,15
490,15
502,14.85
a1497250980,14.8
5,14.795
8,14.62
9,14.505
10,14.6
16,14.5
17,14.44
18,14.48
35,14.415
36,14.415
37,14.14
58,14.365
65,14.365
164,14.275
167,14.165
171,14.47
177,14.16
185,14.445
203,14.16
262,14.165
283,14.165
286,14.16
337,14.17
341,14.16
369,14.16
383,14
387,14
400,13.91
407,13.9
409,13.9
410,13.51
414,13.36
416,13.695
422,13.5
424,13.9
426,13.985
487,13.605
491,13.355
505,13.44
507,13.355
a1497337380,13.32
1,13.35
3,13.32
4,13.44
7,13.44
9,13.77
11,13.81
13,14.15
14,13.905
15,13.905
16,13.935
19,13.97
25,13.925
33,13.76
34,13.765
42,14.05
45,14.1
51,14.075
63,14.095
67,14.32
72,14.305
80,14.295
86,14.265
100,14.11
117,14.22
139,14.2
145,14.22
156,14.205
162,14.03
169,14.215
186,14.215
202,14.215
239,14.3
272,14.205
275,14.2
308,14.29
312,14.455
320,14.46
335,14.44
380,14.58
388,14.335
394,14.58
422,14.5
425,14.5
426,14.5
452,14.58
455,14.58
457,14.72
471,14.67
475,14.77
476,14.78
479,14.835
482,14.79
486,14.845
490,14.72
506,14.83
507,14.845
a1497423780,15.05
1,15.3
4,15.495
5,15.5
11,15.2
14,15.375
18,15.305
22,15.375
29,15.26
33,15.26
34,15.495
37,15.495
51,15.4
52,15.495
63,15.445
78,15.3
83,15.3
90,15.3
130,15.3
132,15.3
171,15.295
321,15.3
335,15.3
434,15.28
465,15.28
507,15.3
a1497510180,15.4
17,15.4
55,15.55
72,15.5
101,15.5
134,15.425
189,15.425
207,15.55
210,15.545
211,15.545
236,15.5
375,15.495
402,15.23
403,15.23
445,15.23
446,15.205
449,15.21
506,15.205
507,15.165
a1497599520,15.19
76,15.185
85,15.49
95,15.18
136,15.165
186,15.165
276,15.2
277,15.48
290,15.21
431,15.395
458,15.4
a1497856380,15.11
6,15.4
7,15.015
51,15
52,14.905
54,14.995
73,14.97
207,15.04
260,15.095
323,14.9
324,14.85
345,14.665
395,14.8
398,14.8
451,14.895
474,14.9
484,14.87
485,14.87
a1497943740,14.83
1,14.83
3,14.86
16,15.14
21,15.215
24,15.385
26,15.3
27,15.3
38,15.29
44,15.06
46,14.73
64,15.155
71,15.175
113,15.19
196,14.935
203,15.14
229,14.785
281,14.95
301,14.8
312,14.88
481,14.58
a1498033980,14.955
14,14.605
74,14.685
76,14.955
83,14.74
86,14.735
101,14.735
102,14.735
142,14.74
189,14.74
203,14.74
284,14.685
375,14.645
394,14.84
410,14.84
417,14.845
a1498114980,15.04
27,14.97
136,14.84
137,14.785
156,14.975
179,15.025
199,14.985
208,15.04
210,15.15
228,15.27
245,15.27
281,15.35
400,15.35
479,15.24
481,15.26
507,15.1
a1498202220,15.245
48,15.24
115,15.3
183,15.32
319,15.15
320,15.15
352,15.265
353,15.265
385,15.005
443,15.265
493,15.085
a1498460640,15.285
20,15.52
60,15.73
182,15.605
192,15.6
292,15.34
323,15.62
366,15.59
399,15.37
407,15.72
449,15.5
506,15.4
"
