3V64
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499670300,83.1
27,82.23
248,82.66
368,82.72
429,83.11
438,83.5
445,83.42
a1499756700,84
211,84.07
237,83.43
278,83.81
280,83.81
281,83.8
302,83.5
315,83.28
320,83.26
323,83.66
328,83.33
407,83.4
451,83.71
467,83.59
468,83.53
474,83.62
475,83.63
500,83.36
a1499843100,83
10,84
242,83.75
415,84.3
487,84.22
a1499932200,84.08
103,84.85
165,84.9
172,84.1
211,84.33
212,84.31
250,84.25
251,84.25
a1500015900,84.91
136,84.49
142,84.35
143,84.35
159,84.8
173,84.78
180,84.98
200,84.39
259,84.99
295,84.55
344,84.18
356,83.89
363,83.8
394,84.47
412,85
a1500275100,84.3
23,85.36
176,85
202,85.11
210,84.94
212,85.21
237,85.37
267,85.26
268,85.54
339,85.03
375,84.74
387,84.79
397,84.6
400,84.55
401,84.55
415,84.58
432,84.54
457,84.24
465,84.3
479,84.4
491,84.5
492,84.43
a1500362040,83.92
329,84
335,83.77
339,83.72
340,83.87
406,83.89
490,84.3
a1500447900,84.5
25,84.52
120,84.95
220,84.6
245,84.61
248,84.61
254,84.82
301,84.71
332,84.98
336,84.91
354,84.85
402,84.91
434,84.88
487,85.03
494,85.09
a1500534300,85.55
14,85.54
78,85.64
92,85.71
99,85.7
119,86.6
188,86.05
214,86
222,85.7
235,85.83
291,86.02
295,86
296,85.99
332,85.83
365,85.43
373,86
381,85.73
391,85.42
393,85.16
396,85.01
397,85.01
453,84.54
457,84.53
492,84.62
493,84.61
496,84.62
a1500620700,84.87
55,85.17
59,84.99
63,85.01
140,85.22
147,85.29
171,85.29
176,85.85
241,86.22
246,85.31
317,84.85
320,84.81
362,84.86
379,85.75
386,85.58
391,85.57
393,85.79
396,85.6
398,85.87
399,85.92
400,86
401,85.94
410,85.72
501,85.76
a1500879900,85.77
7,85.65
9,85.7
33,85.71
71,85.86
98,85.58
113,85.43
163,85
185,85.23
198,85.6
200,85.57
201,85.75
256,85.74
277,85.61
386,85.64
426,85.76
457,85.94
468,85.93
a1500966300,85.76
39,86.54
42,86.55
44,86.55
99,86.52
109,86.52
178,86.36
205,86.42
257,86.37
296,86.3
382,86.23
389,86.04
391,85.74
394,85.68
406,85.62
420,85.88
a1501052700,86.58
37,85.88
55,86.13
90,86.43
186,86.4
206,86.1
257,85.58
261,85.56
350,86.33
377,86.38
379,86.39
401,86.33
414,86.55
444,86.71
491,86.31
a1501140180,86.45
92,86.45
288,87.21
373,86.24
383,86.22
388,86
389,85.91
485,85.94
a1501225500,85
3,85
58,85.06
61,85.07
65,84.91
104,85.02
123,84.9
135,84.77
279,84.76
292,84.75
296,84.62
426,84.69
491,84.62
493,84.59
"
