ARO
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499671320,0.014
33,0.014
a1499756580,0.013
31,0.013
220,0.014
381,0.014
a1499843280,0.015
150,0.014
313,0.014
365,0.014
385,0.013
497,0.013
a1499937960,0.013
22,0.013
28,0.013
a1500015780,0.014
201,0.014
383,0.014
a1500274980,0.014
93,0.014
310,0.014
a1500369720,0.015
27,0.013
117,0.013
159,0.013
275,0.015
a1500450720,0.014
a1500540000,0.014
36,0.014
a1500621780,0.014
a1500887880,0.015
a1500975060,0.013
104,0.013
a1501053540,0.013
155,0.013
332,0.013
a1501252560,0.015
"
