BAYA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499670960,110.25
a1499756820,111
77,110.85
78,110.85
342,110.65
345,110
500,110.05
a1499855220,110.95
19,110.1
144,111
216,112.15
237,112.2
243,113.2
256,112.05
a1499929260,114.55
2,112.7
70,113
169,113.55
179,113.5
264,112.6
322,112.85
418,111.95
499,112.3
a1500019860,114.05
36,113.9
a1500283500,112.5
265,112.5
a1500372240,111.5
107,110.6
138,110.6
191,110.45
194,110.45
246,110
247,109.7
307,110
a1500447660,111.15
98,110
401,110.75
402,111.5
a1500540360,112.5
31,112.8
170,112.05
a1500639900,111.6
31,111.3
50,111.3
158,111.3
a1500880320,110.65
47,111.2
78,111.1
298,110.2
481,111.85
a1500986940,111.4
1,112
78,112.1
a1501052460,112
75,112.85
279,112
a1501147800,108.15
5,108
177,109.15
179,108.45
263,108
278,108.25
287,107.1
a1501225380,106.85
257,107.75
"
