GGS
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499672280,0.761
63,0.769
362,0.761
a1499760780,0.754
245,0.75
373,0.755
376,0.751
a1499845380,0.741
100,0.74
165,0.74
291,0.743
a1499931300,0.758
66,0.747
a1500020640,0.745
43,0.74
89,0.739
422,0.748
a1500274980,0.749
293,0.74
390,0.74
416,0.739
433,0.73
434,0.729
438,0.739
a1500369660,0.723
a1500450420,0.735
218,0.735
226,0.73
227,0.7
311,0.719
a1500538860,0.726
1,0.73
35,0.735
48,0.73
77,0.731
196,0.734
260,0.734
263,0.75
410,0.75
a1500620580,0.75
248,0.75
328,0.722
364,0.749
a1500891180,0.731
2,0.731
38,0.716
a1500966180,0.73
347,0.73
413,0.749
a1501067880,0.75
112,0.725
166,0.749
226,0.749
244,0.749
a1501160340,0.722
a1501252140,0.732
"
