HBC1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499670300,8.304
3,8.32
12,8.3
18,8.291
20,8.319
40,8.29
41,8.29
42,8.295
67,8.305
82,8.281
89,8.307
90,8.308
94,8.31
99,8.3
106,8.31
138,8.295
149,8.319
153,8.32
155,8.32
181,8.299
248,8.305
255,8.3
256,8.3
266,8.3
307,8.292
376,8.309
377,8.31
383,8.328
396,8.323
398,8.325
420,8.33
436,8.319
486,8.331
a1499756700,8.411
6,8.439
21,8.42
39,8.42
88,8.392
162,8.393
187,8.38
201,8.383
202,8.38
205,8.384
309,8.354
347,8.36
364,8.356
391,8.35
393,8.356
438,8.349
a1499845020,8.299
56,8.28
106,8.335
118,8.345
148,8.354
178,8.355
179,8.35
189,8.371
218,8.345
232,8.365
284,8.379
297,8.375
318,8.376
330,8.375
331,8.37
384,8.378
392,8.389
425,8.39
428,8.385
442,8.371
a1499929500,8.374
78,8.379
136,8.395
145,8.395
159,8.394
188,8.38
261,8.386
309,8.371
310,8.367
321,8.369
322,8.37
334,8.367
352,8.38
426,8.389
429,8.389
452,8.4
501,8.409
505,8.409
a1500017640,8.383
68,8.382
69,8.382
140,8.387
146,8.382
150,8.378
193,8.375
212,8.375
228,8.358
229,8.36
243,8.35
249,8.33
265,8.355
302,8.33
323,8.297
332,8.304
352,8.307
369,8.334
379,8.351
444,8.325
468,8.315
a1500275820,8.337
25,8.386
38,8.396
39,8.364
46,8.362
66,8.38
75,8.355
84,8.351
92,8.381
110,8.367
141,8.372
149,8.367
159,8.368
160,8.37
176,8.384
177,8.381
179,8.385
180,8.393
193,8.402
219,8.4
226,8.398
255,8.401
333,8.376
334,8.373
335,8.377
378,8.383
381,8.38
383,8.382
385,8.38
416,8.39
440,8.36
a1500361500,8.32
3,8.318
33,8.32
58,8.306
71,8.321
80,8.327
89,8.323
90,8.315
128,8.328
155,8.323
160,8.325
175,8.328
188,8.327
190,8.313
201,8.306
203,8.3
208,8.296
253,8.242
264,8.25
300,8.255
301,8.255
353,8.242
369,8.228
387,8.218
403,8.213
409,8.203
505,8.213
a1500450780,8.275
52,8.272
124,8.271
139,8.27
153,8.272
162,8.26
164,8.27
196,8.289
199,8.249
213,8.266
231,8.289
292,8.3
295,8.299
411,8.306
a1500535620,8.313
67,8.33
94,8.369
96,8.35
118,8.357
120,8.364
178,8.33
223,8.273
350,8.292
392,8.285
421,8.237
a1500622380,8.23
7,8.23
9,8.23
103,8.247
121,8.254
125,8.256
205,8.24
219,8.246
226,8.255
259,8.24
365,8.195
368,8.192
369,8.19
420,8.153
421,8.15
477,8.133
a1500879900,8.172
29,8.18
107,8.188
140,8.19
146,8.19
151,8.196
156,8.195
157,8.193
165,8.197
172,8.19
193,8.202
200,8.209
206,8.189
238,8.203
291,8.199
377,8.199
388,8.2
423,8.215
424,8.218
501,8.192
505,8.163
a1500966660,8.271
18,8.302
59,8.386
65,8.4
67,8.408
120,8.354
159,8.384
164,8.384
198,8.4
210,8.409
280,8.428
300,8.416
320,8.402
390,8.409
444,8.41
451,8.41
454,8.41
476,8.411
499,8.413
a1501053600,8.4
17,8.388
35,8.399
36,8.42
38,8.414
70,8.39
160,8.391
179,8.353
339,8.389
386,8.373
398,8.392
404,8.399
451,8.391
467,8.4
490,8.4
a1501142700,8.375
36,8.38
122,8.42
123,8.419
124,8.419
165,8.42
286,8.42
312,8.421
366,8.41
406,8.415
425,8.427
427,8.427
445,8.385
a1501225500,8.287
135,8.277
160,8.281
190,8.259
196,8.251
427,8.248
489,8.256
494,8.237
505,8.229
"
