ISH2
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499670180,1.69
61,1.691
103,1.682
114,1.65
115,1.613
284,1.68
386,1.68
389,1.68
430,1.668
471,1.643
a1499756820,1.632
45,1.632
92,1.644
129,1.644
240,1.631
242,1.631
252,1.644
389,1.681
466,1.674
501,1.679
a1499845560,1.632
7,1.676
45,1.676
144,1.635
145,1.635
279,1.63
280,1.63
287,1.621
288,1.63
323,1.63
450,1.621
a1499929380,1.62
36,1.62
65,1.645
66,1.644
139,1.63
252,1.61
307,1.629
308,1.63
477,1.642
483,1.662
493,1.656
507,1.656
a1500015780,1.679
54,1.631
58,1.661
66,1.669
92,1.631
95,1.63
134,1.63
144,1.63
194,1.659
a1500274980,1.605
13,1.606
32,1.615
33,1.615
35,1.636
46,1.615
101,1.63
148,1.63
154,1.649
255,1.606
393,1.606
406,1.62
425,1.62
488,1.619
502,1.607
a1500367260,1.625
18,1.606
36,1.615
148,1.61
157,1.61
167,1.615
177,1.615
248,1.591
a1500447780,1.6
237,1.615
a1500534180,1.6
11,1.601
176,1.613
313,1.611
320,1.619
330,1.613
358,1.613
434,1.611
444,1.611
502,1.64
503,1.642
a1500628260,1.6
74,1.6
84,1.6
181,1.64
a1500879780,1.6
195,1.639
237,1.639
367,1.605
a1500966180,1.605
40,1.63
163,1.606
a1501052940,1.606
125,1.606
148,1.606
166,1.606
171,1.635
203,1.601
399,1.59
473,1.6
a1501138980,1.6
45,1.6
91,1.531
215,1.58
227,1.598
228,1.56
241,1.56
242,1.581
244,1.531
256,1.584
258,1.583
280,1.584
364,1.589
452,1.563
453,1.554
459,1.55
460,1.531
a1501226640,1.564
7,1.575
32,1.576
222,1.59
244,1.549
302,1.539
321,1.599
352,1.599
434,1.599
"
