KIN2
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499670300,3.318
150,3.35
190,3.36
266,3.36
267,3.36
381,3.351
388,3.327
389,3.325
463,3.428
480,3.446
481,3.447
486,3.455
493,3.439
a1499761620,3.501
308,3.49
a1499852760,3.48
78,3.48
166,3.48
188,3.52
193,3.52
235,3.5
245,3.45
255,3.443
325,3.427
327,3.429
a1499929500,3.385
296,3.476
a1500015900,3.3
78,3.34
227,3.321
323,3.34
385,3.41
386,3.41
388,3.443
a1500275100,3.459
122,3.441
176,3.412
253,3.449
427,3.49
485,3.493
491,3.504
a1500361500,3.5
6,3.478
11,3.478
334,3.491
386,3.485
420,3.485
421,3.485
472,3.516
494,3.527
a1500452700,3.501
282,3.546
364,3.52
397,3.552
408,3.563
409,3.563
411,3.574
a1500534300,3.63
123,3.604
182,3.604
448,3.587
485,3.561
489,3.556
a1500629520,3.555
182,3.621
243,3.6
265,3.585
330,3.605
350,3.622
351,3.622
353,3.625
a1500898080,3.615
88,3.615
89,3.615
98,3.6
101,3.602
163,3.554
a1500966300,3.57
189,3.5
191,3.52
385,3.52
386,3.52
430,3.512
431,3.5
439,3.5
448,3.509
a1501078980,3.595
a1501165740,3.59
1,3.59
a1501251720,3.587
"
