MBC
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499674200,14.005
71,14.17
a1499761560,14.2
358,14.675
366,14.7
388,14.5
405,14.35
406,14.35
412,14.35
a1499845800,14.625
194,14.6
413,14.205
453,14.065
a1499958540,14.245
a1500026280,14.05
140,13.9
289,14.04
305,14.3
329,14.2
a1500275100,14.28
81,14.28
113,14.05
a1500361500,14.2
175,14.05
260,14
433,14.02
437,14.455
439,14.695
444,14.4
473,14.61
485,14.2
a1500625740,14.355
250,14.395
a1500879900,14.2
77,14.375
98,14.5
384,14.2
a1500966360,14.07
332,14.245
a1501077120,13.915
a1501140360,13.9
2,14.305
55,14.59
327,14.6
426,14.3
"
