NGLB
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499671800,11.85
49,11.79
67,11.835
68,11.835
70,11.84
73,11.835
77,11.825
78,11.81
79,11.81
80,11.81
104,11.795
106,11.785
138,11.78
154,11.8
168,11.775
182,11.78
275,11.79
395,12
412,12.035
453,12.08
463,12.125
468,12.15
480,12.13
a1499756700,12.25
7,12.31
11,12.36
12,12.43
18,12.445
24,12.405
45,12.35
55,12.285
56,12.26
115,12.345
165,12.3
174,12.27
453,12.26
504,12.215
a1499845920,12.28
11,12.3
12,12.3
17,12.33
28,12.35
105,12.405
169,12.4
342,12.48
350,12.51
448,12.42
a1499929980,12.665
36,12.61
45,12.64
55,12.61
61,12.655
81,12.7
106,12.7
135,12.615
136,12.615
139,12.615
156,12.58
174,12.565
199,12.55
227,12.56
265,12.5
371,12.52
415,12.45
a1500019440,12.44
7,12.44
31,12.44
32,12.44
106,12.46
167,12.475
202,12.5
203,12.5
204,12.5
216,12.495
267,12.51
272,12.49
273,12.53
307,12.77
316,12.78
320,12.78
321,12.79
323,12.82
326,12.85
327,12.855
328,12.84
333,12.89
335,12.89
341,12.89
352,12.875
357,12.84
368,12.85
382,12.905
441,12.785
444,12.77
446,12.75
a1500275100,12.975
15,13.035
18,12.99
42,13.05
47,13.04
53,13.095
88,13.095
238,13.035
281,13.035
326,13.005
350,12.97
355,12.955
442,13.01
488,12.96
490,12.92
494,12.925
503,12.92
505,12.915
a1500361500,12.74
2,12.77
7,12.695
8,12.685
9,12.67
21,12.64
34,12.66
329,12.53
339,12.505
345,12.525
425,12.66
429,12.7
505,12.76
a1500449280,12.79
10,12.82
56,12.75
77,12.74
103,12.75
452,12.885
465,12.855
467,12.865
482,12.82
a1500534240,12.875
36,12.895
46,12.9
48,12.89
333,12.795
388,12.7
416,12.5
430,12.5
444,12.34
464,12.32
469,12.33
489,12.33
492,12.36
493,12.345
a1500620700,12.315
28,12.295
36,12.33
181,12.39
183,12.38
186,12.37
204,12.38
224,12.33
240,12.375
247,12.375
328,12.415
338,12.435
438,12.305
439,12.325
499,12.185
a1500881640,12.17
23,12.17
27,12.14
78,12.12
106,12.055
209,12.265
308,12.25
375,12.405
385,12.385
399,12.36
409,12.355
476,12.355
a1500966600,12.89
1,12.94
5,12.84
20,12.91
25,12.97
26,13
48,12.98
64,12.985
85,13.045
93,13.025
105,13.12
155,12.96
194,12.96
224,13
291,13.08
340,12.965
368,13.1
369,13.115
387,13.1
389,13.07
392,13.025
394,13.015
398,12.995
406,13.01
483,13.12
500,13.15
a1501053000,13.2
2,13.15
7,13.09
13,13.12
15,13.16
29,13.18
30,13.185
39,13.225
50,13.215
60,13.225
65,13.255
84,13.26
114,13.315
124,13.285
155,13.3
159,13.3
162,13.32
175,13.38
182,13.365
184,13.385
197,13.425
199,13.4
208,13.37
335,13.395
364,13.435
431,13.41
439,13.415
440,13.42
448,13.44
482,13.4
500,13.485
a1501139220,13.835
1,13.9
10,13.925
13,13.87
19,13.79
20,13.825
22,13.825
52,13.835
65,13.74
68,13.8
72,13.8
83,13.815
85,13.8
86,13.845
111,13.875
119,13.9
121,13.905
140,13.92
143,13.87
167,13.89
182,13.91
230,13.89
245,13.94
248,13.935
253,13.95
268,13.98
276,14
279,14.015
299,13.98
318,13.95
333,13.95
380,13.915
503,13.79
a1501225680,13.565
1,13.56
9,13.595
21,13.68
26,13.705
33,13.67
34,13.66
60,13.725
65,13.73
68,13.7
106,13.685
273,13.685
275,13.665
325,13.7
338,13.675
388,13.735
492,13.765
"
