OMV
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499670300,44.82
4,44.985
8,44.96
12,45
69,45.01
86,44.88
91,44.895
92,45.015
118,45.015
167,44.685
177,45
254,45.085
288,45.03
396,44.915
492,45.295
494,45.21
504,45.455
505,45.16
a1499757060,45.465
41,45.23
58,45.275
110,45.495
112,45.54
132,45.815
247,45.315
299,45.24
310,45.235
313,45.07
324,45.05
328,45.025
332,44.91
353,45.15
410,44.975
412,44.965
432,45.025
447,45.5
449,45.59
499,45.245
a1499845860,46.7
2,46.7
3,46.7
6,46.8
22,46.84
27,46.8
45,46.745
91,46.555
123,46.59
141,46.67
154,46.74
289,46.595
300,46.7
319,46.97
340,46.875
355,46.86
359,46.86
376,46.755
445,46.765
459,46.455
a1499929500,46.895
9,47.045
24,47.14
29,47.14
82,47.225
97,47.295
108,47.345
109,47.315
116,47.485
169,47.305
172,47.34
250,46.985
305,47.07
356,46.98
367,46.975
388,46.99
421,46.96
488,47.18
a1500015960,47.3
65,47.11
98,47.25
121,47.17
291,47.075
319,47.3
504,47.275
a1500275100,47.42
2,47.3
11,47.575
16,47.8
24,47.8
48,47.94
63,48.04
152,47.77
307,48.04
308,48.04
419,48.11
a1500363900,47.91
94,48.015
102,48.015
139,48
208,48
255,48
267,48.075
319,47.985
328,47.92
346,47.825
388,47.68
390,47.725
445,47.56
459,47.66
a1500452520,47.515
19,47.32
22,47.28
24,47.28
33,47.41
36,47.365
65,47.15
71,47.07
80,47.31
104,47.195
140,47.29
176,47.3
296,47.33
335,47.515
399,47.7
419,47.59
a1500534540,48.19
12,48.175
23,48.25
29,48.325
44,48.37
72,48.265
73,48.225
88,48.3
89,48.34
90,48.465
92,48.47
95,48.445
98,48.45
105,48.445
107,48.42
109,48.36
116,48.4
130,48.465
131,48.5
135,48.55
136,48.61
145,48.625
148,48.605
161,48.6
164,48.615
167,48.61
170,48.5
174,48.62
193,48.66
197,48.71
201,48.65
202,48.65
205,48.645
209,48.69
210,48.7
215,48.69
219,48.66
222,48.7
237,48.71
240,48.71
250,48.65
253,48.565
274,48.64
276,48.685
283,48.7
305,48.8
310,48.8
334,48.85
348,48.755
350,48.86
368,49
373,48.975
400,48.885
407,48.95
412,49
436,48.86
440,48.75
449,48.4
454,48.46
457,48.41
487,48.515
a1500620640,48.46
12,48.51
107,48.515
114,48.5
127,48.36
131,48.33
132,48.32
154,48.19
160,48.1
183,47.89
227,47.915
248,47.89
279,47.75
283,47.81
318,47.91
344,47.65
351,47.6
387,47.54
416,47.3
452,47.305
466,47.405
492,47.28
493,47.735
a1500881580,46.785
2,46.88
29,47.005
61,47
87,46.73
90,47.015
159,47.15
180,47.05
185,47.22
199,47.225
232,47.025
236,47.165
287,47.34
382,47.47
411,47.495
415,47.445
435,47.37
444,47.38
469,47.26
476,47.145
477,47.145
a1500969360,47.54
51,47.615
63,47.635
75,47.625
81,47.77
84,47.795
168,47.94
169,47.945
187,48.015
190,48.015
243,47.99
271,48.06
309,48.095
320,48.26
397,48.285
400,48.32
420,48.22
423,48.155
435,48.14
454,48.11
a1501053060,48.495
52,49
126,48.93
129,48.98
132,49.01
137,49.21
148,49.3
165,49.315
170,49.31
184,49.085
190,49
199,48.69
207,48.785
226,48.69
281,48.73
326,48.87
328,48.825
338,48.805
355,48.895
358,49.025
360,49.005
374,49.065
386,49.115
409,48.805
422,49.3
440,49.015
441,48.76
442,49.05
464,49.085
476,48.96
477,48.94
485,48.965
486,48.835
491,48.965
492,49.055
a1501139460,49.37
15,49.47
17,49.495
23,49.5
25,49.5
27,49.615
38,49.49
44,49.605
46,49.68
83,49.455
91,49.49
103,49.605
179,49.06
180,49.21
247,49.025
249,49.065
310,49.125
358,49.04
386,49.07
430,48.82
496,49.07
499,49
a1501225500,48.51
39,48.795
115,48.725
174,48.605
233,48.73
258,48.65
260,48.615
272,48.65
284,48.65
296,48.695
297,48.755
337,48.58
339,48.535
340,48.545
348,48.535
360,48.54
449,48.555
450,48.485
452,48.48
459,48.535
496,48.61
500,48.535
"
