SPM
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1499670300,1.702
20,1.645
a1499771700,1.701
a1499872560,1.674
a1499933520,1.715
15,1.72
130,1.65
408,1.66
a1500295980,1.678
a1500371700,1.748
a1500452640,1.748
a1500555120,1.7
a1500629040,1.685
19,1.68
a1500880980,1.639
340,1.715
409,1.735
a1500968040,1.757
160,1.774
168,1.707
177,1.707
309,1.699
335,1.699
a1501079160,1.697
a1501155180,1.655
213,1.649
a1501231800,1.674
357,1.7
391,1.7
"
