T3T1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1500449640,7.389
2,7.39
59,7.599
361,7.6
446,8
469,7.999
a1500535260,7.999
15,8
59,8.12
215,8.139
251,8.139
340,8.149
454,8.13
a1500620580,8.15
13,8.15
27,8.249
78,8.249
157,8.249
162,8.249
166,8.249
472,8.249
a1500894480,8.429
65,8.439
214,8.57
a1500971280,8.549
72,8.549
192,8.44
198,8.599
282,8.503
a1501054980,8.649
2,8.699
6,8.849
44,8.849
100,8.9
118,8.9
120,8.98
150,8.8
176,8.849
349,8.9
a1501143360,9
51,9.05
142,9.111
210,9.329
257,9
360,9.3
a1501227660,9.33
304,9.78
372,9.89
396,9.89
468,9.6
"
